source_table	donor_id	gsm	timepoint	tissue_state	baseline_primary	cell_type	F1_CORE_mean	F1_CORE_count	F1_EXTENDED_mean	F1_EXTENDED_count	F2_CORE_mean	F2_CORE_count	F2_EXTENDED_mean	F2_EXTENDED_count	F6_CORE_mean	F6_CORE_count	F6_EXTENDED_mean	F6_EXTENDED_count	F7_CORE_mean	F7_CORE_count	F7_EXTENDED_mean	F7_EXTENDED_count	axis	program_type	n_donors	mean_LS_minus_NL	bootstrap_ci_low	bootstrap_ci_high	signflip_p	fdr_by_program_type	dominant_cell_type	dominant_mean_score	secondary_cell_type	secondary_mean_score	specificity_delta_vs_second	n_cell_types_observed	core_extended_pseudobulk_spearman	n_donor_celltype_units	contrast	mean_treatment_shift
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120449	baseline	lesional	True	B_cell	0.236649538196497	41.0	0.1756659833787016	41.0	0.1290234737044108	41.0	0.1341306604069601	41.0	0.3459213250910264	41.0	0.3400228005475536	41.0	1.325975239869679	41.0	0.7451138296791632	41.0																		
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120449	baseline	lesional	True	NK_cell	0.2555137426332185	27.0	0.190038540968385	27.0	0.1427103449577607	27.0	0.1476323008200644	27.0	0.3561770632129715	27.0	0.3444301716025582	27.0	1.3414745504798784	27.0	0.7597472546552709	27.0																		
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120449	baseline	lesional	True	T_cell	0.2698717934647823	36.0	0.2009301751862065	36.0	0.156021540010656	36.0	0.1566850369815669	36.0	0.3577758399408139	36.0	0.3458979299447422	36.0	1.2397461746313017	36.0	0.7122583588455388	36.0																		
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120449	baseline	lesional	True	dendritic	0.262556985007635	23.0	0.2092035244615781	23.0	0.1614771462081031	23.0	0.1657355461661077	23.0	0.3773057213359314	23.0	0.3664520790126829	23.0	1.293863709521353	23.0	0.7659307053160048	23.0																		
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120449	baseline	lesional	True	endothelial	0.3009765924734005	294.0	0.227390453696434	294.0	0.1797442994199427	294.0	0.1907298385924181	294.0	0.3707487514690806	294.0	0.350144707668401	294.0	1.240075933438152	294.0	0.7121238298367737	294.0																		
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120449	baseline	lesional	True	fibroblast	0.3061062792464173	1082.0	0.2365775476903919	1082.0	0.170770390302806	1082.0	0.1955827499189482	1082.0	0.3489264571065754	1082.0	0.3348099387336648	1082.0	1.1507985835434884	1082.0	0.6672758396068044	1082.0																		
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120449	baseline	lesional	True	keratinocyte	0.3391143621940615	11054.0	0.2356323069604675	11054.0	0.1421058335283422	11054.0	0.156769665511898	11054.0	0.3915402903687122	11054.0	0.3687012944299175	11054.0	1.1749063897829757	11054.0	0.6742861319356449	11054.0																		
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120449	baseline	lesional	True	mast_cell	0.1552045969816822	255.0	0.0929718401449032	255.0	0.0551102386199853	255.0	0.0690196368914528	255.0	0.1530107524245986	255.0	0.1416194286270457	255.0	0.7416042345974305	255.0	0.396744418827529	255.0																		
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120449	baseline	lesional	True	melanocyte	0.384616005488002	151.0	0.2799739637986286	151.0	0.1778517244727098	151.0	0.1925526334227911	151.0	0.4233812261421679	151.0	0.3676553388425856	151.0	1.0540896523556953	151.0	0.632071379083996	151.0																		
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120449	baseline	lesional	True	myeloid_monocyte	0.2565818144255243	729.0	0.196320229691244	729.0	0.1475550398184203	729.0	0.1542568509046827	729.0	0.3706032657085578	729.0	0.3311842337361607	729.0	1.1763448563883108	729.0	0.6921176235432295	729.0																		
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120449	baseline	lesional	True	pericyte_smooth_muscle	0.3013667164861512	514.0	0.2271743621540991	514.0	0.1803906266635336	514.0	0.1919748308404595	514.0	0.3651924903287177	514.0	0.3562515541620641	514.0	1.2391199080798414	514.0	0.7017815141487226	514.0																		
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120450	baseline	nonlesional	True	B_cell	0.2641597023268047	391.0	0.1974559212110861	391.0	0.147787983612972	391.0	0.1659215142880389	391.0	0.3167646149604038	391.0	0.3207150842977209	391.0	1.1351968188059471	391.0	0.6450424671275041	391.0																		
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120450	baseline	nonlesional	True	NK_cell	0.2154550254123533	18.0	0.1641672145195881	18.0	0.1211047863575008	18.0	0.132577470775662	18.0	0.2755849897462859	18.0	0.2960499511122994	18.0	1.1794717241458523	18.0	0.6697438029414091	18.0																		
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120450	baseline	nonlesional	True	T_cell	0.2081607910386952	252.0	0.1580861488843932	252.0	0.1193804491446502	252.0	0.1270432233504042	252.0	0.2688925448380823	252.0	0.2849469149140609	252.0	1.191023319516522	252.0	0.6588517524916124	252.0																		
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120450	baseline	nonlesional	True	dendritic	0.2551913716306212	95.0	0.2011811252912224	95.0	0.1555416887584033	95.0	0.1653408902791424	95.0	0.3431570659664753	95.0	0.3433442931394149	95.0	1.199892508288906	95.0	0.7039827538101542	95.0																		
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120450	baseline	nonlesional	True	endothelial	0.2839003353937961	815.0	0.2192105706514251	815.0	0.1695086258938806	815.0	0.1863173666040876	815.0	0.3418514892493957	815.0	0.3462161931159628	815.0	1.2412015796466127	815.0	0.7017014877602392	815.0																		
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120450	baseline	nonlesional	True	fibroblast	0.3029729350026435	1576.0	0.237429287701451	1576.0	0.1711762538847841	1576.0	0.2000496937433547	1576.0	0.3126818627372127	1576.0	0.3219841858605941	1576.0	1.1096128685307394	1576.0	0.638743567002561	1576.0																		
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120450	baseline	nonlesional	True	keratinocyte	0.3164280021160927	4015.0	0.2236419665250069	4015.0	0.1336191440895053	4015.0	0.1535902579386513	4015.0	0.3438141186006308	4015.0	0.3302405234474544	4015.0	1.266416746435866	4015.0	0.7045578690139606	4015.0																		
GSE228421_donor_celltype_axis_scores.tsv	P1	GSM7120450	baseline	nonlesional	True	mast_cell	0.1974431061513087	227.0	0.121309441102753	227.0	0.0724875271445626	227.0	0.0899253909179006	227.0	0.1934664288208574	227.0	0.1953358101233275	227.0	1.0161513906582371	227.0	0.5406173164707792	227.0																		
