source_table	axis	program_type	N_frozen_genes	N_tested_genes	beta	SE	P	FDR	direction	interpretation	observed_statistic	null_mean	null_SD	empirical_percentile	empirical_P	n_random_sets	null_set_id	target_genes	sampled_genes	fallback_draws	CORE_gene_count	mapped_gene_count	MHC_gene_count	MAGMA_MHC_excluded_beta	MAGMA_MHC_excluded_P	MAGMA_FDR	MAGMA_MHC_included_P	MHC_dependence	empirical_null_P	unique_gene_signal	conditional_signal	sLDSC_enrichment	sLDSC_P	genetic_specificity	final_genetic_tier	eligible_for_phase3b	eligible_for_comorbidity_phase
magma_core_MHC_excluded.tsv	F1	CORE	see_axis_gene_mapping_coverage	252.0	-0.053787	0.061254	0.81005	0.81005	negative	not_significant																											
magma_core_MHC_excluded.tsv	F2	CORE	see_axis_gene_mapping_coverage	674.0	0.05185	0.039191	0.092923	0.371692	positive	not_significant																											
magma_core_MHC_excluded.tsv	F6	CORE	see_axis_gene_mapping_coverage	128.0	0.042266	0.081005	0.30092	0.4012266666666667	positive	not_significant																											
magma_core_MHC_excluded.tsv	F7	CORE	see_axis_gene_mapping_coverage	203.0	0.04433	0.06921	0.26092	0.4012266666666667	positive	not_significant																											
matched_null_results.tsv	F1										-0.053787	-0.000584955435	0.058153068156547	17.8	0.8220889555222389	2000.0																					
matched_null_results.tsv	F2										0.05185	0.0048243455929999	0.036030197750822	90.9	0.0914542728635682	2000.0																					
matched_null_results.tsv	F6										0.042266	0.014034894361	0.0771859290677994	64.4	0.3563218390804598	2000.0																					
matched_null_results.tsv	F7										0.04433	-0.0118252440314999	0.0625853499309996	79.9	0.2013993003498251	2000.0																					
matched_null_generation_qc.tsv	F1																F1_NULL_0000	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0001	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0002	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0003	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0004	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0005	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0006	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0007	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0008	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0009	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0010	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0011	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0012	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0013	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0014	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0015	252.0	252.0	1.0																	
matched_null_generation_qc.tsv	F1																F1_NULL_0016	252.0	252.0	1.0																	
