panel	trait	locus	metric	displayed_value	source_file	source_identifier	analysis_definition	verified
a	PsA		rg	1.1715	results/phase4a/phase4a_ldsc_rg_results.tsv	Psoriatic arthritis	LDSC genome-wide genetic correlation of psoriasis with each outcome	yes
a	PsA		SE	0.0751	results/phase4a/phase4a_ldsc_rg_results.tsv	Psoriatic arthritis	LDSC genome-wide genetic correlation of psoriasis with each outcome	yes
a	PsA		P	6.7461e-55	results/phase4a/phase4a_ldsc_rg_results.tsv	Psoriatic arthritis	LDSC genome-wide genetic correlation of psoriasis with each outcome	yes
a	PsA		FDR	4.0476600000000004e-54	results/phase4a/phase4a_ldsc_rg_results.tsv	Psoriatic arthritis	LDSC genome-wide genetic correlation of psoriasis with each outcome	yes
a	PsA		QC_status	CROSS_TRAIT_INTERCEPT_ELEVATED;NEAR_NEIGHBOR_PHENOTYPE	results/phase4a/phase4a_ldsc_rg_results.tsv	Psoriatic arthritis	LDSC genome-wide genetic correlation of psoriasis with each outcome	yes
a	PsA		cross_trait_intercept	0.3142	results/phase4a/phase4a_ldsc_rg_results.tsv	Psoriatic arthritis	LDSC genome-wide genetic correlation of psoriasis with each outcome	yes
a	PsA		95% CI low	1.024304	results/phase4a/phase4a_ldsc_rg_results.tsv	Psoriatic arthritis	computed as rg - 1.96*SE for display	yes
a	PsA		95% CI high	1.318696	results/phase4a/phase4a_ldsc_rg_results.tsv	Psoriatic arthritis	computed as rg + 1.96*SE for display	yes
a	Crohn		rg	-0.2717	results/phase4a/phase4a_ldsc_rg_results.tsv	Crohn disease	LDSC genome-wide genetic correlation of psoriasis with each outcome	yes
a	Crohn		SE	0.0449	results/phase4a/phase4a_ldsc_rg_results.tsv	Crohn disease	LDSC genome-wide genetic correlation of psoriasis with each outcome	yes
a	Crohn		P	1.434e-09	results/phase4a/phase4a_ldsc_rg_results.tsv	Crohn disease	LDSC genome-wide genetic correlation of psoriasis with each outcome	yes
a	Crohn		FDR	2.868e-09	results/phase4a/phase4a_ldsc_rg_results.tsv	Crohn disease	LDSC genome-wide genetic correlation of psoriasis with each outcome	yes
