outcome	tissue	n_results	n_missing_HEIDI	n_HEIDI_pass_0p01	n_SMR_primary_signal
cad	Artery_Aorta	58	1	52	6
cad	Artery_Coronary	14	0	13	3
cad	Artery_Tibial	76	0	71	9
cad	Skin_Not_Sun_Exposed_Suprapubic	83	2	76	7
cad	Skin_Sun_Exposed_Lower_leg	93	0	87	11
cad	Whole_Blood	97	0	89	10
crohn	Cells_EBV-transformed_lymphocytes	5	0	3	0
crohn	Colon_Sigmoid	28	0	21	5
crohn	Colon_Transverse	30	0	24	6
crohn	Skin_Not_Sun_Exposed_Suprapubic	35	0	27	7
crohn	Skin_Sun_Exposed_Lower_leg	42	0	34	10
crohn	Spleen	26	0	21	4
crohn	Whole_Blood	43	0	32	6
psa	Cells_EBV-transformed_lymphocytes	22	0	20	5
psa	Skin_Not_Sun_Exposed_Suprapubic	71	0	63	14
psa	Skin_Sun_Exposed_Lower_leg	80	0	70	12
psa	Spleen	50	0	45	7
psa	Whole_Blood	89	1	77	12
uc	Cells_EBV-transformed_lymphocytes	9	0	9	2
uc	Colon_Sigmoid	18	0	15	5
uc	Colon_Transverse	19	0	16	5
uc	Skin_Not_Sun_Exposed_Suprapubic	30	0	23	5
uc	Skin_Sun_Exposed_Lower_leg	32	0	25	9
uc	Spleen	24	0	19	6
uc	Whole_Blood	35	0	28	10
