item	original	revised	status	location
0.0118	1	1	MATCH	main manuscript before references
0.0255	1	1	MATCH	main manuscript before references
0.0274	1	1	MATCH	main manuscript before references
0.0409	1	1	MATCH	main manuscript before references
0.0449	1	1	MATCH	main manuscript before references
0.0479	1	1	MATCH	main manuscript before references
0.0751	1	1	MATCH	main manuscript before references
0.0787	1	1	MATCH	main manuscript before references
0.1732	1	1	MATCH	main manuscript before references
0.2078	1	1	MATCH	main manuscript before references
0.2233	1	1	MATCH	main manuscript before references
0.2717	1	1	MATCH	main manuscript before references
0.375	2	2	MATCH	main manuscript before references
0.455	1	1	MATCH	main manuscript before references
0.485	1	2	MATCH	main manuscript before references
0.489	2	2	MATCH	main manuscript before references
0.491	2	2	MATCH	main manuscript before references
0.496	2	2	MATCH	main manuscript before references
0.5	1	1	MATCH	main manuscript before references
0.50	1	1	MATCH	main manuscript before references
0.502	2	2	MATCH	main manuscript before references
0.505	1	2	MATCH	main manuscript before references
0.506	2	2	MATCH	main manuscript before references
0.518	2	2	MATCH	main manuscript before references
0.546	2	2	MATCH	main manuscript before references
0.562	2	2	MATCH	main manuscript before references
0.565	2	2	MATCH	main manuscript before references
0.577	1	1	MATCH	main manuscript before references
0.595	2	2	MATCH	main manuscript before references
0.597	1	1	MATCH	main manuscript before references
0.6315	1	1	MATCH	main manuscript before references
0.639	2	2	MATCH	main manuscript before references
0.6508	1	1	MATCH	main manuscript before references
0.6647	1	1	MATCH	main manuscript before references
0.688	2	2	MATCH	main manuscript before references
0.746	1	1	MATCH	main manuscript before references
0.75	1	1	MATCH	main manuscript before references
0.754	2	2	MATCH	main manuscript before references
0.7912	1	1	MATCH	main manuscript before references
0.8	2	2	MATCH	main manuscript before references
0.80	2	2	MATCH	main manuscript before references
0.934	1	1	MATCH	main manuscript before references
0.945	2	2	MATCH	main manuscript before references
0.960	3	3	MATCH	main manuscript before references
0.971	2	2	MATCH	main manuscript before references
0009	2	2	MATCH	main manuscript before references
01017	1	1	MATCH	main manuscript before references
01325	1	1	MATCH	main manuscript before references
019	1	1	MATCH	main manuscript before references
020	1	1	MATCH	main manuscript before references
0218	1	1	MATCH	main manuscript before references
022	2	2	MATCH	main manuscript before references
023	1	1	MATCH	main manuscript before references
025	3	3	MATCH	main manuscript before references
02552	1	1	MATCH	main manuscript before references
026	3	3	MATCH	main manuscript before references
04126	1	1	MATCH	main manuscript before references
1	12	11	MATCH	main manuscript before references
1.1	2	2	MATCH	main manuscript before references
1.1715	1	1	MATCH	main manuscript before references
1.434e-09	1	1	MATCH	main manuscript before references
10	6	6	MATCH	main manuscript before references
10.1016	4	4	MATCH	main manuscript before references
10.1038	11	11	MATCH	main manuscript before references
10.1111	1	1	MATCH	main manuscript before references
10.1126	2	2	MATCH	main manuscript before references
10.1371	2	2	MATCH	main manuscript before references
10.15252	1	1	MATCH	main manuscript before references
100	2	1	MATCH	main manuscript before references
100333	1	1	MATCH	main manuscript before references
1004219	1	1	MATCH	main manuscript before references
1004383	1	1	MATCH	main manuscript before references
10627	1	1	MATCH	main manuscript before references
109	2	1	MATCH	main manuscript before references
11	5	5	MATCH	main manuscript before references
113	3	3	MATCH	main manuscript before references
118	1	1	MATCH	main manuscript before references
12	2	2	MATCH	main manuscript before references
12,194	1	1	MATCH	main manuscript before references
12,366	1	1	MATCH	main manuscript before references
122,733	1	1	MATCH	main manuscript before references
1236	1	1	MATCH	main manuscript before references
1241	1	1	MATCH	main manuscript before references
