factor	view	feature	feature_family	feature_name	loading	abs_loading_rank_within_factor_view
F1	BLD	signaling_PROGENy::JAK-STAT	signaling_PROGENy	JAK-STAT	-0.009368318133056164	302.0
F2	BLD	signaling_PROGENy::JAK-STAT	signaling_PROGENy	JAK-STAT	-0.00011750380508601665	126.0
F3	BLD	signaling_PROGENy::JAK-STAT	signaling_PROGENy	JAK-STAT	-0.2515556514263153	246.0
F4	BLD	signaling_PROGENy::JAK-STAT	signaling_PROGENy	JAK-STAT	0.07280530035495758	371.0
F5	BLD	signaling_PROGENy::JAK-STAT	signaling_PROGENy	JAK-STAT	0.00030802239780314267	218.0
F6	BLD	signaling_PROGENy::JAK-STAT	signaling_PROGENy	JAK-STAT	1.7907703295350075e-05	387.0
F7	BLD	signaling_PROGENy::JAK-STAT	signaling_PROGENy	JAK-STAT	-0.15523917973041534	296.0
F8	BLD	signaling_PROGENy::JAK-STAT	signaling_PROGENy	JAK-STAT	-3.603859295253642e-05	362.0
F1	BLD	regulon_DoRothEA::STAT1	regulon_DoRothEA	STAT1	-0.004659864120185375	369.0
F2	BLD	regulon_DoRothEA::STAT1	regulon_DoRothEA	STAT1	-0.00024339511583093554	33.0
F3	BLD	regulon_DoRothEA::STAT1	regulon_DoRothEA	STAT1	-0.5630365014076233	34.0
F4	BLD	regulon_DoRothEA::STAT1	regulon_DoRothEA	STAT1	-0.18770182132720947	248.0
F5	BLD	regulon_DoRothEA::STAT1	regulon_DoRothEA	STAT1	0.0003392529033590108	198.0
F6	BLD	regulon_DoRothEA::STAT1	regulon_DoRothEA	STAT1	-6.579896307812305e-06	422.0
F7	BLD	regulon_DoRothEA::STAT1	regulon_DoRothEA	STAT1	-0.24833229184150696	215.0
F8	BLD	regulon_DoRothEA::STAT1	regulon_DoRothEA	STAT1	-0.00012246468395460397	193.0
F1	BLD	regulon_DoRothEA::CEBPA	regulon_DoRothEA	CEBPA	0.044989410787820816	77.0
F2	BLD	regulon_DoRothEA::CEBPA	regulon_DoRothEA	CEBPA	-4.53928578281193e-06	441.0
F3	BLD	regulon_DoRothEA::CEBPA	regulon_DoRothEA	CEBPA	-0.565172553062439	33.0
F4	BLD	regulon_DoRothEA::CEBPA	regulon_DoRothEA	CEBPA	-0.06482608616352081	381.0
F5	BLD	regulon_DoRothEA::CEBPA	regulon_DoRothEA	CEBPA	8.682908082846552e-05	350.0
F6	BLD	regulon_DoRothEA::CEBPA	regulon_DoRothEA	CEBPA	0.00010379333980381489	212.0
F7	BLD	regulon_DoRothEA::CEBPA	regulon_DoRothEA	CEBPA	-0.3038414418697357	174.0
F8	BLD	regulon_DoRothEA::CEBPA	regulon_DoRothEA	CEBPA	-0.000187311481568031	119.0
F1	BLD	regulon_DoRothEA::IRF1	regulon_DoRothEA	IRF1	-0.03580225259065628	94.0
F2	BLD	regulon_DoRothEA::IRF1	regulon_DoRothEA	IRF1	-0.00016110458818729967	76.0
F3	BLD	regulon_DoRothEA::IRF1	regulon_DoRothEA	IRF1	-0.46458306908607483	76.0
F4	BLD	regulon_DoRothEA::IRF1	regulon_DoRothEA	IRF1	-0.016740398481488228	433.0
F5	BLD	regulon_DoRothEA::IRF1	regulon_DoRothEA	IRF1	-5.945874727331102e-05	376.0
F6	BLD	regulon_DoRothEA::IRF1	regulon_DoRothEA	IRF1	-9.579608013154939e-05	223.0
F7	BLD	regulon_DoRothEA::IRF1	regulon_DoRothEA	IRF1	-0.17406678199768066	272.0
F8	BLD	regulon_DoRothEA::IRF1	regulon_DoRothEA	IRF1	-9.418240369996056e-05	234.0
F1	BLD	regulon_DoRothEA::FOS	regulon_DoRothEA	FOS	0.038870371878147125	90.0
F2	BLD	regulon_DoRothEA::FOS	regulon_DoRothEA	FOS	0.0001258307893294841	112.0
F3	BLD	regulon_DoRothEA::FOS	regulon_DoRothEA	FOS	-0.4743606746196747	73.0
F4	BLD	regulon_DoRothEA::FOS	regulon_DoRothEA	FOS	-0.15064388513565063	286.0
F5	BLD	regulon_DoRothEA::FOS	regulon_DoRothEA	FOS	0.0003081262402702123	217.0
F6	BLD	regulon_DoRothEA::FOS	regulon_DoRothEA	FOS	-5.464631612994708e-05	308.0
F7	BLD	regulon_DoRothEA::FOS	regulon_DoRothEA	FOS	-0.17365503311157227	273.0
F8	BLD	regulon_DoRothEA::FOS	regulon_DoRothEA	FOS	0.0001708196650724858	137.0
F1	BLD	regulon_DoRothEA::STAT3	regulon_DoRothEA	STAT3	0.035504113882780075	97.0
F2	BLD	regulon_DoRothEA::STAT3	regulon_DoRothEA	STAT3	0.00011288736277492717	131.0
F3	BLD	regulon_DoRothEA::STAT3	regulon_DoRothEA	STAT3	-0.6072908043861389	20.0
F4	BLD	regulon_DoRothEA::STAT3	regulon_DoRothEA	STAT3	-0.13496710360050201	302.0
F5	BLD	regulon_DoRothEA::STAT3	regulon_DoRothEA	STAT3	-0.00028257525991648436	234.0
F6	BLD	regulon_DoRothEA::STAT3	regulon_DoRothEA	STAT3	0.00017031517927534878	119.0
F7	BLD	regulon_DoRothEA::STAT3	regulon_DoRothEA	STAT3	0.14053885638713837	307.0
F8	BLD	regulon_DoRothEA::STAT3	regulon_DoRothEA	STAT3	-2.0622574083972722e-05	389.0
F1	BLD	signaling_PROGENy::NFkB	signaling_PROGENy	NFkB	-0.025148514658212662	144.0
F2	BLD	signaling_PROGENy::NFkB	signaling_PROGENy	NFkB	-0.00028087609098292887	26.0
F3	BLD	signaling_PROGENy::NFkB	signaling_PROGENy	NFkB	-0.5513978004455566	43.0
F4	BLD	signaling_PROGENy::NFkB	signaling_PROGENy	NFkB	-0.0017631404334679246	449.0
F5	BLD	signaling_PROGENy::NFkB	signaling_PROGENy	NFkB	-0.00030133890686556697	223.0
F6	BLD	signaling_PROGENy::NFkB	signaling_PROGENy	NFkB	0.00011059766256948933	202.0
F7	BLD	signaling_PROGENy::NFkB	signaling_PROGENy	NFkB	-0.26371821761131287	198.0
F8	BLD	signaling_PROGENy::NFkB	signaling_PROGENy	NFkB	2.0732119082822464e-05	388.0
F1	BLD	regulon_DoRothEA::NFKB1	regulon_DoRothEA	NFKB1	-0.022937597706913948	161.0
F2	BLD	regulon_DoRothEA::NFKB1	regulon_DoRothEA	NFKB1	-0.00010883784852921963	140.0
F3	BLD	regulon_DoRothEA::NFKB1	regulon_DoRothEA	NFKB1	-0.6406200528144836	7.0
F4	BLD	regulon_DoRothEA::NFKB1	regulon_DoRothEA	NFKB1	-0.035279493778944016	413.0
F5	BLD	regulon_DoRothEA::NFKB1	regulon_DoRothEA	NFKB1	-0.0009284886764362454	66.0
F6	BLD	regulon_DoRothEA::NFKB1	regulon_DoRothEA	NFKB1	5.2981187764089555e-05	313.0
F7	BLD	regulon_DoRothEA::NFKB1	regulon_DoRothEA	NFKB1	0.0050530945882201195	446.0
F8	BLD	regulon_DoRothEA::NFKB1	regulon_DoRothEA	NFKB1	5.500355837284587e-05	298.0
F1	BLD	regulon_DoRothEA::IRF3	regulon_DoRothEA	IRF3	0.0014444217085838318	417.0
F2	BLD	regulon_DoRothEA::IRF3	regulon_DoRothEA	IRF3	-4.098040153621696e-05	297.0
F3	BLD	regulon_DoRothEA::IRF3	regulon_DoRothEA	IRF3	0.0865430235862732	386.0
F4	BLD	regulon_DoRothEA::IRF3	regulon_DoRothEA	IRF3	0.17843732237815857	262.0
F5	BLD	regulon_DoRothEA::IRF3	regulon_DoRothEA	IRF3	0.00012955896090716124	322.0
F6	BLD	regulon_DoRothEA::IRF3	regulon_DoRothEA	IRF3	0.00015572119446005672	133.0
F7	BLD	regulon_DoRothEA::IRF3	regulon_DoRothEA	IRF3	0.6459956765174866	3.0
F8	BLD	regulon_DoRothEA::IRF3	regulon_DoRothEA	IRF3	0.00043251703027635813	17.0
F1	BLD	regulon_DoRothEA::CEBPB	regulon_DoRothEA	CEBPB	-0.007314170245081186	324.0
F2	BLD	regulon_DoRothEA::CEBPB	regulon_DoRothEA	CEBPB	3.553317947080359e-05	329.0
F3	BLD	regulon_DoRothEA::CEBPB	regulon_DoRothEA	CEBPB	-0.5465893149375916	46.0
F4	BLD	regulon_DoRothEA::CEBPB	regulon_DoRothEA	CEBPB	0.18241585791110992	254.0
F5	BLD	regulon_DoRothEA::CEBPB	regulon_DoRothEA	CEBPB	-0.0029716137796640396	10.0
F6	BLD	regulon_DoRothEA::CEBPB	regulon_DoRothEA	CEBPB	0.00017102180572692305	116.0
F7	BLD	regulon_DoRothEA::CEBPB	regulon_DoRothEA	CEBPB	0.03308393433690071	417.0
F8	BLD	regulon_DoRothEA::CEBPB	regulon_DoRothEA	CEBPB	0.00023754537687636912	77.0
F1	BLD	regulon_DoRothEA::HIF1A	regulon_DoRothEA	HIF1A	-0.030888915061950684	113.0
F2	BLD	regulon_DoRothEA::HIF1A	regulon_DoRothEA	HIF1A	-0.00012099743617000058	117.0
F3	BLD	regulon_DoRothEA::HIF1A	regulon_DoRothEA	HIF1A	-0.5776610374450684	29.0
F4	BLD	regulon_DoRothEA::HIF1A	regulon_DoRothEA	HIF1A	-0.07491809874773026	367.0
F5	BLD	regulon_DoRothEA::HIF1A	regulon_DoRothEA	HIF1A	-5.4793315939605236e-05	389.0
F6	BLD	regulon_DoRothEA::HIF1A	regulon_DoRothEA	HIF1A	-0.0001139942542067729	198.0
F7	BLD	regulon_DoRothEA::HIF1A	regulon_DoRothEA	HIF1A	0.01262518297880888	436.0
F8	BLD	regulon_DoRothEA::HIF1A	regulon_DoRothEA	HIF1A	-1.4617424312746152e-05	401.0
F1	BLD	signaling_PROGENy::TNFa	signaling_PROGENy	TNFa	-0.0337776280939579	105.0
F2	BLD	signaling_PROGENy::TNFa	signaling_PROGENy	TNFa	-0.00021317636128515005	44.0
F3	BLD	signaling_PROGENy::TNFa	signaling_PROGENy	TNFa	-0.5416991710662842	49.0
F4	BLD	signaling_PROGENy::TNFa	signaling_PROGENy	TNFa	0.08086252957582474	361.0
F5	BLD	signaling_PROGENy::TNFa	signaling_PROGENy	TNFa	-0.0005329818231984973	137.0
F6	BLD	signaling_PROGENy::TNFa	signaling_PROGENy	TNFa	9.937832510331646e-05	220.0
F7	BLD	signaling_PROGENy::TNFa	signaling_PROGENy	TNFa	-0.040386248379945755	405.0
F8	BLD	signaling_PROGENy::TNFa	signaling_PROGENy	TNFa	4.379392339615151e-05	337.0
F1	BLD	regulon_DoRothEA::RELA	regulon_DoRothEA	RELA	-0.005827091634273529	354.0
F2	BLD	regulon_DoRothEA::RELA	regulon_DoRothEA	RELA	-0.00010579321678960696	144.0
F3	BLD	regulon_DoRothEA::RELA	regulon_DoRothEA	RELA	-0.5613366961479187	35.0
F4	BLD	regulon_DoRothEA::RELA	regulon_DoRothEA	RELA	-0.11668117344379425	321.0
F5	BLD	regulon_DoRothEA::RELA	regulon_DoRothEA	RELA	-0.002156637841835618	12.0
F6	BLD	regulon_DoRothEA::RELA	regulon_DoRothEA	RELA	-1.6705009329598397e-05	392.0
F7	BLD	regulon_DoRothEA::RELA	regulon_DoRothEA	RELA	-0.18820405006408691	259.0
F8	BLD	regulon_DoRothEA::RELA	regulon_DoRothEA	RELA	0.0002596772974357009	67.0
F1	BLD	signaling_PROGENy::EGFR	signaling_PROGENy	EGFR	-0.042122602462768555	86.0
F2	BLD	signaling_PROGENy::EGFR	signaling_PROGENy	EGFR	-3.5824305086862296e-05	325.0
F3	BLD	signaling_PROGENy::EGFR	signaling_PROGENy	EGFR	-0.045242778956890106	415.0
F4	BLD	signaling_PROGENy::EGFR	signaling_PROGENy	EGFR	0.00549289770424366	443.0
F5	BLD	signaling_PROGENy::EGFR	signaling_PROGENy	EGFR	-0.0008122877334244549	79.0
