seed	reference_factor	matched_factor	score_abs_pearson	score_signed_pearson_after_alignment
20260811	F1	F1	1.0	1.0
20260811	F2	F2	1.0	1.0
20260811	F3	F3	1.0	1.0
20260811	F4	F4	0.9999998211860657	0.9999998211860657
20260811	F5	F5	0.9999998807907104	0.9999998807907104
20260811	F6	F6	0.9999999403953552	0.9999999403953552
20260811	F7	F7	0.9999998807907104	0.9999998807907104
20260811	F8	F8	1.0	1.0
20260812	F1	F1	1.0	1.0
20260812	F2	F2	1.0	1.0
20260812	F3	F3	1.0	1.0
20260812	F4	F4	0.9999998807907104	0.9999998807907104
20260812	F5	F5	1.0	1.0
20260812	F6	F6	1.0	1.0
20260812	F7	F7	0.9999998211860657	0.9999998211860657
20260812	F8	F8	1.0	1.0
20260813	F1	F1	1.0	1.0
20260813	F2	F2	1.0	1.0
20260813	F3	F3	1.0	1.0
20260813	F4	F4	0.9999996423721313	0.9999996423721313
20260813	F5	F5	0.9999997615814209	0.9999997615814209
20260813	F6	F6	0.9999998807907104	0.9999998807907104
20260813	F7	F7	0.9999998211860657	0.9999998211860657
20260813	F8	F8	1.0	1.0
20260814	F1	F1	1.0	1.0
20260814	F2	F2	1.0	1.0
20260814	F3	F3	1.0	1.0
20260814	F4	F4	0.9999997019767761	0.9999997019767761
20260814	F5	F5	0.9999998211860657	0.9999998211860657
20260814	F6	F6	0.9999998211860657	0.9999998211860657
20260814	F7	F7	0.9999998211860657	0.9999998211860657
20260814	F8	F8	1.0	1.0
