patient_id	F1	F2	F3	F4	F5	F6	F7	F8
1001	-4.381845	0.76644874	-1.9064298	-0.5624381	0.892397	-1.6100514	1.2044612	-0.07998049
1002	-1.795848	-0.24843743	0.26959997	-0.54361844	0.72187567	-1.3635076	1.226619	-2.077519
1003	-2.0650349	-2.156906	1.4699205	-2.8495283	-0.8122266	-0.14702702	0.86258674	-0.108092874
1004	0.44411054	-1.6997492	-1.0218964	-2.384738	-0.676394	-0.70685416	1.1808577	-0.24827884
1005	-1.6274416	-0.11848217	-0.5098003	-1.657534	1.8726776	0.12015815	1.4270403	0.849408
1006	-0.97114885	-1.6647608	-2.5129037	-0.87392616	0.28423598	2.275778	1.8932328	-0.058364064
1008	-0.030955156	1.7627723	-1.1824998	-2.9353442	0.58987343	0.055553295	1.9375622	-0.8313341
1009	0.36600605	1.3956659	-1.6508181	-2.5508337	0.18236895	1.1142882	1.3540798	0.279627
1013	-0.1527522	1.8299772	-1.1295478	-2.254672	2.814721	-0.21224508	1.287267	0.09598476
1014	-0.9646548	1.5314744	-2.2158275	-2.0774238	-0.067081414	-0.6656657	2.5239782	-0.4489783
138001	-0.01686148	0.368381	-1.5409011	0.70895535	-2.20447	-1.5333209	-0.094746	1.0167117
138002	0.4492234	-0.7224371	-0.58772117	-0.31864497	-0.52861124	-1.1739681	-0.8895657	0.6752728
138003	-0.32742	-0.976852	0.66494906	1.1004827	-0.33437473	-1.15934	-0.14717185	0.82977855
138004	1.2630283	0.06322078	-0.38379496	-0.59796274	-0.045365375	0.12842368	-1.0448042	1.2728451
23002	2.2947836	-1.9826628	1.2447896	-1.7363513	1.2233013	-0.20707406	-1.2442509	-1.8713543
23003	0.89115417	0.5785904	1.6723288	-2.2580605	0.6242734	0.023782281	-1.0297524	-2.2876859
23005	0.24077125	0.16579117	0.40055564	-0.39811796	0.56290746	-0.7089573	-0.5977331	-0.0058035557
23006	-2.415343	-0.45545778	0.39665774	0.47739226	-0.38288453	-1.391763	-0.50035053	-3.0156107
23007	-0.8809331	1.9630257	0.017168527	0.670929	-1.3671829	0.2005465	-0.39296663	0.06070935
23009	0.40025204	-1.0465628	0.89396626	-1.229053	1.0577639	-0.18442275	-0.99351674	0.20829701
23012	-0.7942194	-0.5773474	0.5509525	0.26059076	1.0744534	-1.2536914	-0.09044661	-0.18867072
5002	0.6378772	-0.84555507	1.1888171	1.3838022	0.6973033	0.7594204	0.8323869	0.43699414
5003	-0.028797273	-0.016337816	2.3492231	0.32730156	-1.4906185	0.4919136	0.37666774	0.42806238
5004	0.120354414	-0.33044407	2.1826575	0.31076366	-1.2092936	0.80512726	0.2965241	1.0400683
5006	0.8026839	-0.020500803	5.059383	2.7678702	-0.25833604	-0.21700259	3.2581592	-0.6721164
5007	1.249525	1.1331314	-0.61511457	0.12051774	0.22575323	1.0765607	-0.74625397	0.45576853
5008	0.26199988	-0.3420768	-0.9917517	0.1492191	-0.3480987	0.6143264	-0.24602072	0.57580733
5015	-0.19461155	-0.29496086	0.06443673	0.9565521	-0.23903854	-1.1575027	0.2795335	0.966478
5016	0.38878936	1.0536039	-0.0096463645	-0.63400644	-0.13852344	1.2560937	-1.0335456	0.9291982
5017	-0.6605583	-0.66234875	0.30953053	0.94250536	-1.5329434	-0.036179725	-0.45268902	-0.29569367
5018	2.140979	0.09100315	0.8818025	-0.3264985	0.34327567	0.4107261	-0.75188875	1.092353
5019	-0.8440606	1.9056362	0.440987	1.3298136	-0.92564154	0.8965241	0.11864014	0.46072963
5020	0.6102944	1.3319446	-0.3762513	0.2373074	-0.26989108	-0.012353615	-0.57457155	0.67307633
5021	-0.52096033	0.13007711	-1.4670678	1.3592539	-0.79425997	-0.4044577	0.017255288	-0.9896507
5022	0.34512487	-0.018604068	-0.36707047	0.5467069	-0.25411594	0.3118128	-0.17570892	1.6167966
5023	-0.2710744	1.0263869	1.35741	-1.0614284	0.63702726	-0.4806744	-0.7432202	-0.53737915
5024	-0.40617025	-0.15524344	0.8898773	-0.73276067	-0.27815074	0.7718563	-0.049438585	-0.6316197
5025	0.7309409	0.5666703	-1.0389047	-0.11344534	0.20270252	-0.4300126	1.1382685	0.73800254
60001	0.0046907878	0.69172204	0.74438477	0.40248898	-0.6131682	0.53902555	-0.4064026	-1.1906492
60005	-0.54837245	-1.412406	-0.91561687	-0.09479545	-0.40440828	1.425997	-0.59350747	-0.5869584
6001	0.32477435	1.0698731	1.298948	0.16472211	-0.36170623	0.56647664	0.047604736	-0.5849479
