gene_symbol	source_feature	evidence_family	loading_direction	loading_strength	n_source_features	n_evidence_families	leading_edge_status	tissue_support	replication_support	inclusion_reason
PSMA1	Hallmark::HALLMARK_MYC_TARGETS_V1;Reactome::AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274);Reactome::Asymmetric localization of PCP proteins;Reactome::Cellular response to hypoxia;Reactome::Defective CFTR causes cystic fibrosis;Reactome::Degradation of CDH1;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::Formation of paraxial mesoderm;Reactome::GLI3 is processed to GLI3R by the proteasome;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::Metabolism of polyamines	Hallmark;Reactome	positive	18.9240625500679	26	2	CORE	LS	moderate	supported by multiple loading-ranked source features before downstream analyses
PSMA2	Hallmark::HALLMARK_MYC_TARGETS_V1;Reactome::AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274);Reactome::Asymmetric localization of PCP proteins;Reactome::Cellular response to hypoxia;Reactome::Defective CFTR causes cystic fibrosis;Reactome::Degradation of CDH1;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::Formation of paraxial mesoderm;Reactome::GLI3 is processed to GLI3R by the proteasome;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::Metabolism of polyamines	Hallmark;Reactome	positive	18.9240625500679	26	2	CORE	LS	moderate	supported by multiple loading-ranked source features before downstream analyses
PSMA4	Hallmark::HALLMARK_MYC_TARGETS_V1;Reactome::AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274);Reactome::Asymmetric localization of PCP proteins;Reactome::Cellular response to hypoxia;Reactome::Defective CFTR causes cystic fibrosis;Reactome::Degradation of CDH1;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::Formation of paraxial mesoderm;Reactome::GLI3 is processed to GLI3R by the proteasome;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::Metabolism of polyamines	Hallmark;Reactome	positive	18.9240625500679	26	2	CORE	LS	moderate	supported by multiple loading-ranked source features before downstream analyses
PSMA6	Hallmark::HALLMARK_MYC_TARGETS_V1;Reactome::AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274);Reactome::Asymmetric localization of PCP proteins;Reactome::Cellular response to hypoxia;Reactome::Defective CFTR causes cystic fibrosis;Reactome::Degradation of CDH1;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::Formation of paraxial mesoderm;Reactome::GLI3 is processed to GLI3R by the proteasome;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::Metabolism of polyamines	Hallmark;Reactome	positive	18.9240625500679	26	2	CORE	LS	moderate	supported by multiple loading-ranked source features before downstream analyses
PSMA7	Hallmark::HALLMARK_MYC_TARGETS_V1;Reactome::AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274);Reactome::Asymmetric localization of PCP proteins;Reactome::Cellular response to hypoxia;Reactome::Defective CFTR causes cystic fibrosis;Reactome::Degradation of CDH1;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::Formation of paraxial mesoderm;Reactome::GLI3 is processed to GLI3R by the proteasome;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::Metabolism of polyamines	Hallmark;Reactome	positive	18.9240625500679	26	2	CORE	LS	moderate	supported by multiple loading-ranked source features before downstream analyses
PSMB2	Hallmark::HALLMARK_MYC_TARGETS_V1;Reactome::AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274);Reactome::Asymmetric localization of PCP proteins;Reactome::Cellular response to hypoxia;Reactome::Defective CFTR causes cystic fibrosis;Reactome::Degradation of CDH1;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::Formation of paraxial mesoderm;Reactome::GLI3 is processed to GLI3R by the proteasome;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::Metabolism of polyamines	Hallmark;Reactome	positive	18.9240625500679	26	2	CORE	LS	moderate	supported by multiple loading-ranked source features before downstream analyses
PSMB3	Hallmark::HALLMARK_MYC_TARGETS_V1;Reactome::AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274);Reactome::Asymmetric localization of PCP proteins;Reactome::Cellular response to hypoxia;Reactome::Defective CFTR causes cystic fibrosis;Reactome::Degradation of CDH1;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::Formation of paraxial mesoderm;Reactome::GLI3 is processed to GLI3R by the proteasome;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::Metabolism of polyamines	Hallmark;Reactome	positive	18.9240625500679	26	2	CORE	LS	moderate	supported by multiple loading-ranked source features before downstream analyses
PSMC4	Hallmark::HALLMARK_MYC_TARGETS_V1;Reactome::AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274);Reactome::Asymmetric localization of PCP proteins;Reactome::Cellular response to hypoxia;Reactome::Defective CFTR causes cystic fibrosis;Reactome::Degradation of CDH1;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::Formation of paraxial mesoderm;Reactome::GLI3 is processed to GLI3R by the proteasome;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::Metabolism of polyamines	Hallmark;Reactome	positive	18.9240625500679	26	2	CORE	LS	moderate	supported by multiple loading-ranked source features before downstream analyses
PSMC6	Hallmark::HALLMARK_MYC_TARGETS_V1;Reactome::AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274);Reactome::Asymmetric localization of PCP proteins;Reactome::Cellular response to hypoxia;Reactome::Defective CFTR causes cystic fibrosis;Reactome::Degradation of CDH1;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::Formation of paraxial mesoderm;Reactome::GLI3 is processed to GLI3R by the proteasome;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::Metabolism of polyamines	Hallmark;Reactome	positive	18.9240625500679	26	2	CORE	LS	moderate	supported by multiple loading-ranked source features before downstream analyses
PSMD1	Hallmark::HALLMARK_MYC_TARGETS_V1;Reactome::AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274);Reactome::Asymmetric localization of PCP proteins;Reactome::Cellular response to hypoxia;Reactome::Defective CFTR causes cystic fibrosis;Reactome::Degradation of CDH1;Reactome::FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Reactome::Formation of paraxial mesoderm;Reactome::GLI3 is processed to GLI3R by the proteasome;Reactome::GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2;Reactome::Hh mutants are degraded by ERAD;Reactome::Metabolism of polyamines	Hallmark;Reactome	positive	18.9240625500679	26	2	CORE	LS	moderate	supported by multiple loading-ranked source features before downstream analyses
