factor_a	factor_b	patient_score_spearman	loading_similarity_spearman	top_pathway_feature_jaccard	top_feature_overlap_coefficient	regulon_overlap_count	cell_state_overlap_count	redundancy_class
F1	F2	0.21041695146958309	0.06832907282400683	0.05263157894736842	0.1	13	11	distinct_or_low_overlap
F1	F3	0.05782638414217362	0.0824134961963467	0.008403361344537815	0.016666666666666666	13	11	distinct_or_low_overlap
F1	F4	0.052822966507177035	0.004524329540304439	0.0	0.0	13	11	distinct_or_low_overlap
F1	F5	0.20046479835953518	0.023264730810859367	0.0	0.0	13	11	distinct_or_low_overlap
F1	F6	0.02903622693096377	0.11235601094979561	0.12149532710280374	0.21666666666666667	13	11	distinct_or_low_overlap
F1	F7	-0.21583048530416954	-0.07610049116367462	0.0	0.0	13	11	distinct_or_low_overlap
F1	F8	0.13580314422419687	0.034910104002690484	0.05263157894736842	0.1	13	11	distinct_or_low_overlap
F2	F3	-0.03849624060150376	-0.01645421087017643	0.008403361344537815	0.016666666666666666	13	11	distinct_or_low_overlap
F2	F4	-0.03958988380041012	0.006117220045148092	0.0	0.0	13	11	distinct_or_low_overlap
F2	F5	-0.010280246069719754	-0.04649452544849283	0.034482758620689655	0.06666666666666667	13	11	distinct_or_low_overlap
F2	F6	0.08976076555023924	0.030698790478760778	0.02564102564102564	0.05	13	11	distinct_or_low_overlap
F2	F7	0.10534518113465483	0.05838285209514763	0.0	0.0	13	11	distinct_or_low_overlap
F2	F8	-0.09509227614490773	0.040449655423396826	0.0	0.0	13	11	distinct_or_low_overlap
F3	F4	-0.025946684894053315	0.08781904839560832	0.09090909090909091	0.16666666666666666	13	11	distinct_or_low_overlap
F3	F5	0.06539986329460014	0.06053052200749193	0.0	0.0	13	11	distinct_or_low_overlap
F3	F6	0.05615857826384142	0.07841365796697265	0.02564102564102564	0.05	13	11	distinct_or_low_overlap
F3	F7	-0.2561859193438141	-0.04254894729550271	0.0	0.0	13	11	distinct_or_low_overlap
F3	F8	-0.017607655502392346	0.04748088340691358	0.0	0.0	13	11	distinct_or_low_overlap
F4	F5	-0.29006151742993846	-0.0894620581404449	0.0	0.0	13	11	distinct_or_low_overlap
F4	F6	0.06296650717703349	-0.002319209790681355	0.008403361344537815	0.016666666666666666	13	11	distinct_or_low_overlap
F4	F7	0.12325358851674642	0.06777515670041809	0.34831460674157305	0.5166666666666667	13	11	same_broad_domain_review
F4	F8	0.1397676008202324	0.07425724832437813	0.0	0.0	13	11	distinct_or_low_overlap
F5	F6	-0.13643198906356802	-0.05586048770117454	0.0	0.0	13	11	distinct_or_low_overlap
F5	F7	-0.06665755297334244	-0.032565088363546435	0.008403361344537815	0.016666666666666666	13	11	distinct_or_low_overlap
F5	F8	-0.07797676008202324	-0.0472731051135174	0.0	0.0	13	11	distinct_or_low_overlap
F6	F7	-0.00043745727956254275	0.038995797524162226	0.01694915254237288	0.03333333333333333	13	11	distinct_or_low_overlap
F6	F8	-0.011455912508544086	0.008253798954013998	0.01694915254237288	0.03333333333333333	13	11	distinct_or_low_overlap
F7	F8	-0.04123034859876965	0.00349627545666963	0.034482758620689655	0.06666666666666667	13	11	distinct_or_low_overlap
