donor_id	gsm	timepoint	tissue_state	baseline_primary	cell_type	F1_CORE_mean	F1_CORE_count	F1_EXTENDED_mean	F1_EXTENDED_count	F2_CORE_mean	F2_CORE_count	F2_EXTENDED_mean	F2_EXTENDED_count	F6_CORE_mean	F6_CORE_count	F6_EXTENDED_mean	F6_EXTENDED_count	F7_CORE_mean	F7_CORE_count	F7_EXTENDED_mean	F7_EXTENDED_count
P1	GSM7120449	baseline	lesional	True	B_cell	0.23664953819649703	41	0.17566598337870168	41	0.12902347370441083	41	0.13413066040696014	41	0.34592132509102647	41	0.3400228005475536	41	1.325975239869679	41	0.7451138296791632	41
P1	GSM7120449	baseline	lesional	True	NK_cell	0.2555137426332185	27	0.190038540968385	27	0.14271034495776075	27	0.14763230082006445	27	0.3561770632129715	27	0.3444301716025582	27	1.3414745504798784	27	0.7597472546552709	27
P1	GSM7120449	baseline	lesional	True	T_cell	0.2698717934647823	36	0.20093017518620657	36	0.156021540010656	36	0.15668503698156697	36	0.3577758399408139	36	0.3458979299447422	36	1.2397461746313017	36	0.7122583588455388	36
P1	GSM7120449	baseline	lesional	True	dendritic	0.262556985007635	23	0.2092035244615781	23	0.16147714620810313	23	0.16573554616610772	23	0.3773057213359314	23	0.36645207901268295	23	1.293863709521353	23	0.7659307053160048	23
P1	GSM7120449	baseline	lesional	True	endothelial	0.3009765924734005	294	0.22739045369643401	294	0.1797442994199427	294	0.1907298385924181	294	0.37074875146908065	294	0.350144707668401	294	1.240075933438152	294	0.7121238298367737	294
P1	GSM7120449	baseline	lesional	True	fibroblast	0.30610627924641737	1082	0.2365775476903919	1082	0.17077039030280602	1082	0.19558274991894825	1082	0.3489264571065754	1082	0.3348099387336648	1082	1.1507985835434884	1082	0.6672758396068044	1082
P1	GSM7120449	baseline	lesional	True	keratinocyte	0.3391143621940615	11054	0.23563230696046752	11054	0.14210583352834222	11054	0.15676966551189805	11054	0.3915402903687122	11054	0.36870129442991756	11054	1.1749063897829757	11054	0.6742861319356449	11054
P1	GSM7120449	baseline	lesional	True	mast_cell	0.15520459698168224	255	0.09297184014490321	255	0.05511023861998539	255	0.06901963689145285	255	0.1530107524245986	255	0.14161942862704574	255	0.7416042345974305	255	0.396744418827529	255
P1	GSM7120449	baseline	lesional	True	melanocyte	0.384616005488002	151	0.2799739637986286	151	0.1778517244727098	151	0.19255263342279114	151	0.42338122614216794	151	0.3676553388425856	151	1.0540896523556953	151	0.632071379083996	151
P1	GSM7120449	baseline	lesional	True	myeloid_monocyte	0.2565818144255243	729	0.19632022969124405	729	0.1475550398184203	729	0.15425685090468275	729	0.37060326570855784	729	0.33118423373616074	729	1.1763448563883108	729	0.6921176235432295	729
