gsm	donor_id	timepoint	tissue_state	file	bytes	sha256
GSM7120450	P1	baseline	nonlesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120450/GSM7120450_P1_V1_NL.features.tsv.gz	294488	69d556913a9d755c8004d370f007063f84132cb2985e5e1e4f471e691eaa6679
GSM7120449	P1	baseline	lesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120449/GSM7120449_P1_V1_L.barcodes.tsv.gz	19360229	114ce0c29152aa1a4bf574031e71607cb16938107027e60fcad8f3577b49852c
GSM7120449	P1	baseline	lesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120449/GSM7120449_P1_V1_L.features.tsv.gz	294488	69d556913a9d755c8004d370f007063f84132cb2985e5e1e4f471e691eaa6679
GSM7120450	P1	baseline	nonlesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120450/GSM7120450_P1_V1_NL.barcodes.tsv.gz	19360229	114ce0c29152aa1a4bf574031e71607cb16938107027e60fcad8f3577b49852c
GSM7120451	P1	day3	lesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120451/GSM7120451_P1_V2_L.features.tsv.gz	294488	69d556913a9d755c8004d370f007063f84132cb2985e5e1e4f471e691eaa6679
GSM7120451	P1	day3	lesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120451/GSM7120451_P1_V2_L.barcodes.tsv.gz	19360229	114ce0c29152aa1a4bf574031e71607cb16938107027e60fcad8f3577b49852c
GSM7120452	P1	day14	lesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120452/GSM7120452_P1_V3_L.barcodes.tsv.gz	19360229	114ce0c29152aa1a4bf574031e71607cb16938107027e60fcad8f3577b49852c
GSM7120452	P1	day14	lesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120452/GSM7120452_P1_V3_L.features.tsv.gz	294488	69d556913a9d755c8004d370f007063f84132cb2985e5e1e4f471e691eaa6679
GSM7120450	P1	baseline	nonlesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120450/GSM7120450_P1_V1_NL.matrix.mtx.gz	80353929	7136a23277e99067a71067a4ab1aa2041d98bb74fb58e0acbb103b80ea7fb157
GSM7120453	P2	baseline	lesional	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE228421_10x/GSM7120453/GSM7120453_P2_V1_L.barcodes.tsv.gz	19367571	871feb4474fc8c42dff7ade920184b4e14cab5d8b2a138d8e67d63f696a028c8
