axis	program_type	cell_type	contrast	n_donors	mean_treatment_shift	bootstrap_ci_low	bootstrap_ci_high	signflip_p	fdr_by_program_type
F1	CORE	B_cell	day3_minus_baseline_lesional	5	0.013180161014375868	0.0016985198027519132	0.025773145514971403	0.21212121212121213	0.9696969696969697
F1	CORE	B_cell	day14_minus_baseline_lesional	5	0.04847019979396308	0.03178703713208464	0.06512633473570517	0.09090909090909091	0.9696969696969697
F1	CORE	NK_cell	day3_minus_baseline_lesional	5	-0.011261432437571384	-0.0398212292304783	0.01729836435533554	0.5757575757575758	0.9696969696969697
F1	CORE	NK_cell	day14_minus_baseline_lesional	5	0.0330493304796005	0.0023091921573515583	0.06745978545826242	0.15151515151515152	0.9696969696969697
F1	CORE	T_cell	day3_minus_baseline_lesional	5	-0.008769443173424952	-0.030596248513974255	0.013057362167124354	0.5757575757575758	0.9696969696969697
F1	CORE	T_cell	day14_minus_baseline_lesional	5	0.01780971130143307	-0.010978755842342435	0.05194186864685184	0.45454545454545453	0.9696969696969697
F1	CORE	dendritic	day3_minus_baseline_lesional	5	0.0012111625166631001	-0.018759088628162612	0.02255535376462523	0.8787878787878788	0.9925133689839571
F1	CORE	dendritic	day14_minus_baseline_lesional	5	0.041675272217202915	0.015735963469530396	0.07893321071376543	0.09090909090909091	0.9696969696969697
F1	CORE	endothelial	day3_minus_baseline_lesional	5	0.02088368746551994	-0.0003456997517718996	0.04440697838745761	0.2727272727272727	0.9696969696969697
F1	CORE	endothelial	day14_minus_baseline_lesional	5	0.02968750001767696	-0.007550951516463589	0.06884178825417511	0.3939393939393939	0.9696969696969697
F1	CORE	fibroblast	day3_minus_baseline_lesional	5	0.024783783537151733	-0.003338045165728609	0.05755896778273626	0.45454545454545453	0.9696969696969697
F1	CORE	fibroblast	day14_minus_baseline_lesional	5	0.03344122484864604	-0.01666951802082227	0.08887432789980823	0.3939393939393939	0.9696969696969697
F1	CORE	keratinocyte	day3_minus_baseline_lesional	5	0.02558126181387358	-0.03201458559849427	0.06765427924821572	0.45454545454545453	0.9696969696969697
F1	CORE	keratinocyte	day14_minus_baseline_lesional	5	0.03925804494255203	-0.027373838149385942	0.08887023027041173	0.3333333333333333	0.9696969696969697
F1	CORE	mast_cell	day3_minus_baseline_lesional	5	0.0006898056710122058	-0.015712803722445358	0.017347591711216043	1.0	1.0
F1	CORE	mast_cell	day14_minus_baseline_lesional	5	0.043189265525715795	0.01582761907259454	0.07000927039599161	0.15151515151515152	0.9696969696969697
F1	CORE	melanocyte	day3_minus_baseline_lesional	5	0.01163259182974179	-0.012692299298640197	0.03497217356452441	0.5151515151515151	0.9696969696969697
F1	CORE	melanocyte	day14_minus_baseline_lesional	5	0.039971423548250465	0.01599238019735196	0.06517759160482806	0.09090909090909091	0.9696969696969697
F1	CORE	myeloid_monocyte	day3_minus_baseline_lesional	5	0.016751200760227226	-0.00929728686299731	0.04867423884471219	0.5151515151515151	0.9696969696969697
F1	CORE	myeloid_monocyte	day14_minus_baseline_lesional	5	0.04983084324736468	0.023432880992816995	0.08429486489584129	0.09090909090909091	0.9696969696969697
F1	CORE	pericyte_smooth_muscle	day3_minus_baseline_lesional	5	0.010952907721491406	-0.0043528759749126514	0.026258691417895462	0.3333333333333333	0.9696969696969697
F1	CORE	pericyte_smooth_muscle	day14_minus_baseline_lesional	5	0.032093730080024	0.0015828385475871842	0.07038673099195077	0.21212121212121213	0.9696969696969697
F1	CORE	unassigned	day3_minus_baseline_lesional	2	0.09251763451818842	0.03678910151264414	0.1482461675237327	0.6	0.9696969696969697
F1	CORE	unassigned	day14_minus_baseline_lesional	2	0.05937283636865417	0.03615232454801391	0.08259334818929442	0.6	0.9696969696969697
F1	EXTENDED	B_cell	day3_minus_baseline_lesional	5	0.009768673103049241	-0.0034932375969796035	0.02393168736291932	0.2727272727272727	0.9324009324009322
F1	EXTENDED	B_cell	day14_minus_baseline_lesional	5	0.02833341300100905	0.013715669124694152	0.04295115687732395	0.09090909090909091	0.9324009324009322
F1	EXTENDED	NK_cell	day3_minus_baseline_lesional	5	-0.005523682687916582	-0.03274322346864549	0.025050410390922123	0.7575757575757576	0.9324009324009322
F1	EXTENDED	NK_cell	day14_minus_baseline_lesional	5	0.023009050199729687	-0.007523423568084492	0.05757139393518105	0.2727272727272727	0.9324009324009322
F1	EXTENDED	T_cell	day3_minus_baseline_lesional	5	-0.0024317339347243614	-0.019811355160251908	0.0165521874502979	0.8787878787878788	0.9373737373737373
F1	EXTENDED	T_cell	day14_minus_baseline_lesional	5	0.010740935229591391	-0.01009656683919003	0.0343811639606823	0.5151515151515151	0.9324009324009322
F1	EXTENDED	dendritic	day3_minus_baseline_lesional	5	0.007451476089530828	-0.007638652677235069	0.02841662574771906	0.7575757575757576	0.9324009324009322
F1	EXTENDED	dendritic	day14_minus_baseline_lesional	5	0.027076870877011622	0.008700959575366407	0.05549744350449773	0.09090909090909091	0.9324009324009322
F1	EXTENDED	endothelial	day3_minus_baseline_lesional	5	0.01102388338941807	-0.009896567565656444	0.035986762050826175	0.6363636363636364	0.9324009324009322
F1	EXTENDED	endothelial	day14_minus_baseline_lesional	5	0.0139701311008254	-0.016055783410324508	0.04903892630118601	0.5757575757575758	0.9324009324009322
F1	EXTENDED	fibroblast	day3_minus_baseline_lesional	5	0.014798915769965199	-0.01213691797598706	0.045874992494605915	0.45454545454545453	0.9324009324009322
F1	EXTENDED	fibroblast	day14_minus_baseline_lesional	5	0.01506246798818186	-0.03558965026297821	0.06624377810095504	0.6363636363636364	0.9324009324009322
F1	EXTENDED	keratinocyte	day3_minus_baseline_lesional	5	0.016241634933469924	-0.02582046924644017	0.04758346876171447	0.45454545454545453	0.9324009324009322
