donor_id	gsm	timepoint	tissue_state	baseline_primary	cell_type	refined_state	F1_CORE_mean	F1_CORE_count	F1_EXTENDED_mean	F1_EXTENDED_count	F2_CORE_mean	F2_CORE_count	F2_EXTENDED_mean	F2_EXTENDED_count	F6_CORE_mean	F6_CORE_count	F6_EXTENDED_mean	F6_EXTENDED_count	F7_CORE_mean	F7_CORE_count	F7_EXTENDED_mean	F7_EXTENDED_count
P1	GSM7120449	baseline	lesional	True	B_cell	B_cell_plasma	0.26439878477442313	19	0.1968047286957563	19	0.14413545496952476	19	0.15144979204475725	19	0.3634178094967453	19	0.3668136205732708	19	1.3536872194502163	19	0.767029150392791	19
P1	GSM7120449	baseline	lesional	True	B_cell	B_cell_unresolved	0.21268427978828808	22	0.1574097942412454	22	0.11597221715726698	22	0.11917322853795352	22	0.3308107249224511	22	0.316885274161707	22	1.3020421665955786	22	0.726186961790121	22
P1	GSM7120449	baseline	lesional	True	NK_cell	T_cell_TRM_T17_like	0.27871755368687107	3	0.20106031922461168	3	0.14319776631481607	3	0.14905179790255957	3	0.41189766339293926	3	0.3807072030398307	3	1.4523828213649563	3	0.8159610716947719	3
P1	GSM7120449	baseline	lesional	True	NK_cell	cytotoxic_NK_T	0.252613266251512	24	0.18866081868635667	24	0.14264941728812883	24	0.14745486368475258	24	0.34921198819047555	24	0.3398955426728991	24	1.3276110166192436	24	0.7527205275253332	24
P1	GSM7120449	baseline	lesional	True	T_cell	T_cell_TRM_T17_like	0.27173004780951726	35	0.2021377991418786	35	0.15728867166965416	35	0.15786455659340085	35	0.3591593454430156	35	0.3484832811400305	35	1.2453204159759677	35	0.7157736031325517	35
P1	GSM7120449	baseline	lesional	True	T_cell	cytotoxic_NK_T	0.2048328913990562	1	0.158663336737686	1	0.11167193194571984	1	0.1154018505673801	1	0.3093531473637555	1	0.2554106381096509	1	1.0446477275679955	1	0.5892248088000845	1
P1	GSM7120449	baseline	lesional	True	dendritic	dendritic_LAMP3_CCR7	0.2640699916300272	19	0.20886436208975617	19	0.1628355964288866	19	0.1664221220161112	19	0.3722749000244717	19	0.36251535503551596	19	1.2849149372966109	19	0.7599880136774381	19
P1	GSM7120449	baseline	lesional	True	dendritic	myeloid_monocyte_macrophage	0.255370203551272	4	0.21081454572773223	4	0.15502450765938175	4	0.16247431087859102	4	0.40120212256536436	4	0.38515151790422636	4	1.3363703775888773	4	0.7941584905991972	4
P1	GSM7120449	baseline	lesional	True	endothelial	endothelial_activated	0.2890483379743218	79	0.2226191462634712	79	0.18055066328561065	79	0.19194169421688392	79	0.3731660279550445	79	0.3568993375980913	79	1.2805538959730538	79	0.7335365594138608	79
P1	GSM7120449	baseline	lesional	True	endothelial	endothelial_vascular	0.3053595324986434	215	0.22914363177645294	215	0.1794480075809298	215	0.19028455210714926	215	0.3698605428998195	215	0.3476627738802822	215	1.2252026355764902	215	0.7042558966433323	215
P1	GSM7120449	baseline	lesional	True	fibroblast	fibroblast_homeostatic_matrix	0.3064861680789199	1056	0.23683507443171314	1056	0.17106533665711793	1056	0.19590040083111365	1056	0.3493565993129537	1056	0.334689671660153	1056	1.1489989654583235	1056	0.6664075133015314	1056
P1	GSM7120449	baseline	lesional	True	fibroblast	fibroblast_inflammatory	0.29067694820324036	26	0.2261180000428832	26	0.1587910306815233	26	0.1826812359479229	26	0.3314560659552087	26	0.3396946321809165	26	1.2238907642332593	26	0.7025432464671248	26
P1	GSM7120449	baseline	lesional	True	keratinocyte	keratinocyte_IFN_response	0.2782908548583086	5	0.20163556441099897	5	0.16248566711210702	5	0.15594763533598963	5	0.3934191211047509	5	0.32659907734875715	5	1.1126032821510807	5	0.6607705990339057	5
P1	GSM7120449	baseline	lesional	True	keratinocyte	keratinocyte_basal	0.4099811636811858	2323	0.29075261604098124	2323	0.1750078035707219	2323	0.1948730156274654	2323	0.4561844307250907	2323	0.43864476064664865	2323	1.272163866085604	2323	0.7437393538971601	2323
