sample_accession	file	bytes
GSM5277177	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE173706_csv/GSM5277177_NS-AR009.csv.gz	6553787
GSM5277178	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE173706_csv/GSM5277178_PN-30696.csv.gz	8347320
GSM5277170	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE173706_csv/GSM5277170_NS-AR001.csv.gz	3542834
GSM5277179	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE173706_csv/GSM5277179_PN-30696V3.csv.gz	5014801
GSM5277185	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE173706_csv/GSM5277185_PN-8659ED.csv.gz	8755581
GSM5277174	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE173706_csv/GSM5277174_NS-AR006.csv.gz	8191881
GSM5277182	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE173706_csv/GSM5277182_PN-369PC.csv.gz	3604072
GSM5277184	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE173706_csv/GSM5277184_PN-7802ED.csv.gz	10589717
GSM5277188	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE173706_csv/GSM5277188_PN-9709PC.csv.gz	2658057
GSM5277176	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE173706_csv/GSM5277176_NS-AR008.csv.gz	513373
GSM5277186	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE173706_csv/GSM5277186_PN-8940.csv.gz	14240989
GSM5277181	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE173706_csv/GSM5277181_PN-31277.csv.gz	7914544
GSM5277187	/Users/zy/Documents/ChatGPT/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/external/geo/GSE173706_csv/GSM5277187_PN-929.csv.gz	12131720
