axis	program_type	disease_group	n_lesional_sections	n_nonlesional_sections	mean_lesional_minus_nonlesional	mannwhitney_p	fdr_by_program_type
F1	CORE	PsO	7	5	0.0579978403848217	0.030303030303030304	0.08080808080808081
F1	CORE	PsA	7	4	0.015348719476591804	0.7878787878787878	0.7878787878787878
F1	EXTENDED	PsO	7	5	0.054410341092330755	0.01767676767676768	0.06060606060606061
F1	EXTENDED	PsA	7	4	0.01991113707660891	0.4121212121212121	0.5494949494949495
F2	CORE	PsO	7	5	0.045516288513320444	0.01767676767676768	0.07070707070707072
F2	CORE	PsA	7	4	0.017710780239315604	0.5272727272727272	0.6025974025974026
F2	EXTENDED	PsO	7	5	0.04071423820094601	0.030303030303030304	0.06060606060606061
F2	EXTENDED	PsA	7	4	0.013418837821854102	0.6484848484848484	0.6484848484848484
F6	CORE	PsO	7	5	0.11311861422837435	0.0025252525252525255	0.020202020202020204
F6	CORE	PsA	7	4	0.05549210038193836	0.3151515151515151	0.5042424242424242
F6	EXTENDED	PsO	7	5	0.09236969281634005	0.005050505050505051	0.04040404040404041
F6	EXTENDED	PsA	7	4	0.04270223978851756	0.4121212121212121	0.5494949494949495
F7	CORE	PsO	7	5	0.24389128445422914	0.07323232323232323	0.14646464646464646
F7	CORE	PsA	7	4	0.08986339031811097	0.5272727272727272	0.6025974025974026
F7	EXTENDED	PsO	7	5	0.1506776490184134	0.030303030303030304	0.06060606060606061
F7	EXTENDED	PsA	7	4	0.06041073530729685	0.5272727272727272	0.6025974025974026
