accession	level	sample_accession	url
GSE228421	series		ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE228nnn/GSE228421/suppl/GSE228421_RAW.tar
GSE228421	sample	GSM7120449	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120449/suppl/GSM7120449_P1_V1_L.barcodes.tsv.gz
GSE228421	sample	GSM7120449	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120449/suppl/GSM7120449_P1_V1_L.features.tsv.gz
GSE228421	sample	GSM7120449	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120449/suppl/GSM7120449_P1_V1_L.matrix.mtx.gz
GSE228421	sample	GSM7120450	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120450/suppl/GSM7120450_P1_V1_NL.barcodes.tsv.gz
GSE228421	sample	GSM7120450	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120450/suppl/GSM7120450_P1_V1_NL.features.tsv.gz
GSE228421	sample	GSM7120450	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120450/suppl/GSM7120450_P1_V1_NL.matrix.mtx.gz
GSE228421	sample	GSM7120451	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120451/suppl/GSM7120451_P1_V2_L.barcodes.tsv.gz
GSE228421	sample	GSM7120451	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120451/suppl/GSM7120451_P1_V2_L.features.tsv.gz
GSE228421	sample	GSM7120451	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120451/suppl/GSM7120451_P1_V2_L.matrix.mtx.gz
GSE228421	sample	GSM7120452	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120452/suppl/GSM7120452_P1_V3_L.barcodes.tsv.gz
GSE228421	sample	GSM7120452	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120452/suppl/GSM7120452_P1_V3_L.features.tsv.gz
GSE228421	sample	GSM7120452	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7120nnn/GSM7120452/suppl/GSM7120452_P1_V3_L.matrix.mtx.gz
