# MEAN_SAMPLE_SIZE = 82975
# TOTAL_GENES = 18005
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE          TYPE  NGENES         BETA     BETA_STD           SE            P
F1_NULL_0000       SET     252     0.075673    0.0088899     0.062521      0.11308
F1_NULL_0001       SET     252    0.0049308   0.00057926     0.061758      0.46818
F1_NULL_0002       SET     252     0.031959    0.0037545     0.062115      0.30345
F1_NULL_0003       SET     252     -0.10361    -0.012172     0.061032       0.9552
F1_NULL_0004       SET     252   -0.0073747  -0.00086636     0.061888      0.54743
F1_NULL_0005       SET     252   -0.0023175  -0.00027226     0.060302      0.51533
F1_NULL_0006       SET     252   -0.0084599  -0.00099385     0.061434      0.55476
F1_NULL_0007       SET     252   -0.0011195  -0.00013152     0.062133      0.50719
F1_NULL_0008       SET     252      0.13418     0.015763      0.06249     0.015896
F1_NULL_0009       SET     252    -0.049497   -0.0058147     0.061647      0.78898
F1_NULL_0010       SET     252      0.10013     0.011763     0.061949      0.05302
F1_NULL_0011       SET     252    0.0018046     0.000212     0.062116      0.48841
F1_NULL_0012       SET     252    0.0010054   0.00011811     0.062588      0.49359
F1_NULL_0013       SET     252     0.079932    0.0093902     0.060298     0.092492
F1_NULL_0014       SET     252    -0.023645   -0.0027777     0.062667      0.64702
F1_NULL_0015       SET     252    -0.035904   -0.0042179     0.062208      0.71808
F1_NULL_0016       SET     252     -0.11362    -0.013348     0.063015       0.9643
F1_NULL_0017       SET     252     0.068741    0.0080755     0.061588      0.13219
F1_NULL_0018       SET     252     -0.07684   -0.0090269     0.062436      0.89077
F1_NULL_0019       SET     252    -0.055109    -0.006474     0.061599       0.8145
F1_NULL_0020       SET     252      0.12133     0.014254     0.062304     0.025749
F1_NULL_0021       SET     252    -0.022599   -0.0026549     0.061429      0.64352
F1_NULL_0022       SET     252    -0.068261   -0.0080192     0.060087      0.87202
F1_NULL_0023       SET     252      0.07736    0.0090881     0.062277      0.10709
F1_NULL_0024       SET     252     0.092715     0.010892     0.061521      0.06591
F1_NULL_0025       SET     252     0.026718    0.0031388     0.061305      0.33149
F1_NULL_0026       SET     252    -0.073075   -0.0085846     0.060338      0.88706
F1_NULL_0027       SET     252    -0.045833   -0.0053844      0.06047      0.77576
F1_NULL_0028       SET     252    -0.014047   -0.0016502     0.060541      0.59174
F1_NULL_0029       SET     252   -0.0074596  -0.00087633     0.060619      0.54897
F1_NULL_0030       SET     252    -0.069314   -0.0081429     0.063627        0.862
F1_NULL_0031       SET     252     0.072583    0.0085269     0.060643      0.11568
F1_NULL_0032       SET     252     0.033076    0.0038857     0.060081      0.29099
