axis	null_set_id	target_genes	sampled_genes	fallback_draws
F1	F1_NULL_0000	252	252	1
F1	F1_NULL_0001	252	252	1
F1	F1_NULL_0002	252	252	1
F1	F1_NULL_0003	252	252	1
F1	F1_NULL_0004	252	252	1
F1	F1_NULL_0005	252	252	1
F1	F1_NULL_0006	252	252	1
F1	F1_NULL_0007	252	252	1
F1	F1_NULL_0008	252	252	1
F1	F1_NULL_0009	252	252	1
F1	F1_NULL_0010	252	252	1
F1	F1_NULL_0011	252	252	1
F1	F1_NULL_0012	252	252	1
F1	F1_NULL_0013	252	252	1
F1	F1_NULL_0014	252	252	1
F1	F1_NULL_0015	252	252	1
F1	F1_NULL_0016	252	252	1
F1	F1_NULL_0017	252	252	1
F1	F1_NULL_0018	252	252	1
F1	F1_NULL_0019	252	252	1
F1	F1_NULL_0020	252	252	1
F1	F1_NULL_0021	252	252	1
F1	F1_NULL_0022	252	252	1
F1	F1_NULL_0023	252	252	1
F1	F1_NULL_0024	252	252	1
F1	F1_NULL_0025	252	252	1
F1	F1_NULL_0026	252	252	1
F1	F1_NULL_0027	252	252	1
F1	F1_NULL_0028	252	252	1
F1	F1_NULL_0029	252	252	1
F1	F1_NULL_0030	252	252	1
F1	F1_NULL_0031	252	252	1
F1	F1_NULL_0032	252	252	1
F1	F1_NULL_0033	252	252	1
F1	F1_NULL_0034	252	252	1
F1	F1_NULL_0035	252	252	1
F1	F1_NULL_0036	252	252	1
F1	F1_NULL_0037	252	252	1
F1	F1_NULL_0038	252	252	1
F1	F1_NULL_0039	252	252	1
F1	F1_NULL_0040	252	252	1
F1	F1_NULL_0041	252	252	1
F1	F1_NULL_0042	252	252	1
F1	F1_NULL_0043	252	252	1
F1	F1_NULL_0044	252	252	1
F1	F1_NULL_0045	252	252	1
F1	F1_NULL_0046	252	252	1
F1	F1_NULL_0047	252	252	1
F1	F1_NULL_0048	252	252	1
F1	F1_NULL_0049	252	252	1
F1	F1_NULL_0050	252	252	1
F1	F1_NULL_0051	252	252	1
F1	F1_NULL_0052	252	252	1
F1	F1_NULL_0053	252	252	1
F1	F1_NULL_0054	252	252	1
F1	F1_NULL_0055	252	252	1
F1	F1_NULL_0056	252	252	1
F1	F1_NULL_0057	252	252	1
F1	F1_NULL_0058	252	252	1
F1	F1_NULL_0059	252	252	1
F1	F1_NULL_0060	252	252	1
F1	F1_NULL_0061	252	252	1
F1	F1_NULL_0062	252	252	1
F1	F1_NULL_0063	252	252	1
F1	F1_NULL_0064	252	252	1
F1	F1_NULL_0065	252	252	1
F1	F1_NULL_0066	252	252	1
F1	F1_NULL_0067	252	252	1
F1	F1_NULL_0068	252	252	1
F1	F1_NULL_0069	252	252	1
F1	F1_NULL_0070	252	252	1
F1	F1_NULL_0071	252	252	1
F1	F1_NULL_0072	252	252	1
F1	F1_NULL_0073	252	252	1
F1	F1_NULL_0074	252	252	1
F1	F1_NULL_0075	252	252	1
F1	F1_NULL_0076	252	252	1
F1	F1_NULL_0077	252	252	1
F1	F1_NULL_0078	252	252	1
F1	F1_NULL_0079	252	252	1
F1	F1_NULL_0080	252	252	1
F1	F1_NULL_0081	252	252	1
F1	F1_NULL_0082	252	252	1
F1	F1_NULL_0083	252	252	1
F1	F1_NULL_0084	252	252	1
F1	F1_NULL_0085	252	252	1
F1	F1_NULL_0086	252	252	1
F1	F1_NULL_0087	252	252	1
F1	F1_NULL_0088	252	252	1
F1	F1_NULL_0089	252	252	1
F1	F1_NULL_0090	252	252	1
F1	F1_NULL_0091	252	252	1
F1	F1_NULL_0092	252	252	1
F1	F1_NULL_0093	252	252	1
F1	F1_NULL_0094	252	252	1
F1	F1_NULL_0095	252	252	1
F1	F1_NULL_0096	252	252	1
F1	F1_NULL_0097	252	252	1
F1	F1_NULL_0098	252	252	1
F1	F1_NULL_0099	252	252	1
F1	F1_NULL_0100	252	252	1
F1	F1_NULL_0101	252	252	1
F1	F1_NULL_0102	252	252	1
F1	F1_NULL_0103	252	252	1
F1	F1_NULL_0104	252	252	1
F1	F1_NULL_0105	252	252	1
F1	F1_NULL_0106	252	252	1
F1	F1_NULL_0107	252	252	1
F1	F1_NULL_0108	252	252	1
F1	F1_NULL_0109	252	252	1
F1	F1_NULL_0110	252	252	1
F1	F1_NULL_0111	252	252	1
F1	F1_NULL_0112	252	252	1
F1	F1_NULL_0113	252	252	1
F1	F1_NULL_0114	252	252	1
F1	F1_NULL_0115	252	252	1
F1	F1_NULL_0116	252	252	1
F1	F1_NULL_0117	252	252	1
F1	F1_NULL_0118	252	252	1
F1	F1_NULL_0119	252	252	1
F1	F1_NULL_0120	252	252	1
F1	F1_NULL_0121	252	252	1
F1	F1_NULL_0122	252	252	1
F1	F1_NULL_0123	252	252	1
F1	F1_NULL_0124	252	252	1
F1	F1_NULL_0125	252	252	1
F1	F1_NULL_0126	252	252	1
F1	F1_NULL_0127	252	252	1
F1	F1_NULL_0128	252	252	1
F1	F1_NULL_0129	252	252	1
F1	F1_NULL_0130	252	252	1
F1	F1_NULL_0131	252	252	1
F1	F1_NULL_0132	252	252	1
F1	F1_NULL_0133	252	252	1
F1	F1_NULL_0134	252	252	1
F1	F1_NULL_0135	252	252	1
F1	F1_NULL_0136	252	252	1
F1	F1_NULL_0137	252	252	1
F1	F1_NULL_0138	252	252	1
F1	F1_NULL_0139	252	252	1
F1	F1_NULL_0140	252	252	1
F1	F1_NULL_0141	252	252	1
F1	F1_NULL_0142	252	252	1
