outcome	primary_source	primary_url	primary_id	backup_source	backup_url	backup_id	phase4a_status
Psoriatic arthritis	Soomro 2022 PsA vs controls GWAS Catalog	https://www.ebi.ac.uk/gwas/studies/GCST90243956	GCST90243956	Soomro 2022 PsA vs cutaneous psoriasis GWAS Catalog	https://www.ebi.ac.uk/gwas/studies/GCST90243957	GCST90243957	primary_locked
Crohn disease	de Lange 2017 IIBDGC European Crohn subtype via KP/GWAS Catalog	https://kp4cd.org/node/883	deLange2017_CD_EU_or_GWAS_IBDGenetics_eu	Older IIBDGC/Liu Crohn disease GWAS	https://www.ibdgenetics.org/	exact_accession_pending	primary_locked_pending_file_ID
Ulcerative colitis	de Lange 2017 IIBDGC European UC subtype via KP/GWAS Catalog	https://kp4cd.org/node/883	deLange2017_UC_EU_or_GWAS_IBDGenetics_eu	Older IIBDGC/Liu ulcerative colitis GWAS	https://www.ibdgenetics.org/	exact_accession_pending	primary_locked_pending_file_ID
Coronary artery disease	CARDIoGRAMplusC4D + UK Biobank European CAD meta-analysis	https://kp4cd.org/node/348	GWAS_CADMETA_eu	CARDIoGRAMplusC4D 1000G CAD GWAS	https://kp4cd.org/node/620	exact_accession_pending	primary_locked_with_overlap_flag
Ischemic stroke	MEGASTROKE European ischemic stroke	https://kp4cd.org/node/581	GWAS_MEGASTROKE_eu	MEGASTROKE all ancestry	https://www.megastroke.org/	GWAS_MEGASTROKE	primary_locked
Type 2 diabetes	Mahajan 2022 DIAMANTE European T2D unadjusted	https://kp4cd.org/node/872	Mahajan2022_T2D_EU	DIAMANTE 2018 European T2D	https://kp4cd.org/node/169	GWAS_DIAMANTE_eu	primary_locked
MASLD	Ghodsian 2021 EHR-documented NAFLD GWAS	https://kp4cd.org/node/782	Ghodsian2021_EHR_NAFLD_or_GWAS_Catalog_ID_pending	Namjou 2019 eMERGE NAFLD activity score	https://www.ebi.ac.uk/gwas/studies/GCST008471	GCST008471	conditional_primary_pending
Major depression	PGC MDD2 2018 without UKBB/23andMe	https://figshare.com/articles/dataset/MDD2_MDD2018_GWAS_sumstats_w_o_UKBB/21655784	MDD2_noUKBB_no23andMe	PGC download portal	https://pgc.unc.edu/for-researchers/download-results/	exact_current_release_pending	primary_locked
Uveitis	European anterior uveitis source from FinnGen/meta-analysis	https://www.finngen.fi/en/access_results	accession_pending_or_form_required	BBJ uveitis	https://pheweb.jp/downloads	BBJ_uveitis	conditional_primary_pending
Chronic kidney disease	CKDGen 2019 binary CKD	https://ckdgen.imbi.uni-freiburg.de/datasets/Wuttke_2019	Wuttke2019_CKD_file_pending	CKDGen 2019 eGFR European	https://ckdgen.imbi.uni-freiburg.de/datasets	Wuttke2019_eGFR_EA	primary_locked_pending_file_ID
