trait	role	status	url	raw_dir	raw_file	expected_size_bytes	notes
psoriasis	exposure	downloaded_existing	data/genetics/psoriasis_GCST90472771/GCST90472771.tsv.gz	data/genetics/psoriasis_GCST90472771	GCST90472771.tsv.gz	NA	Downloaded and checksummed during Phase 3A
psoriatic_arthritis	outcome_primary	ready_to_download	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90243001-GCST90244000/GCST90243956/GCST90243956.tsv	data/genetics/phase4a_raw/psoriatic_arthritis_GCST90243956	GCST90243956.tsv	767125739	GWAS Catalog FTP; GRCh37; GWAS-SSF
ischemic_stroke	outcome_primary	ready_to_download	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006910/MEGASTROKE.4.CES.EUR.out	data/genetics/phase4a_raw/ischemic_stroke_GCST006910	MEGASTROKE.4.CES.EUR.out	359010068	GWAS Catalog FTP; European MEGASTROKE ischemic stroke
chronic_kidney_disease	outcome_primary	ready_to_download	https://ckdgen.imbi.uni-freiburg.de/files/Wuttke2019/CKD_overall_EA_JW_20180223_nstud23.dbgap.txt.gz	data/genetics/phase4a_raw/chronic_kidney_disease_CKDGen_Wuttke2019	CKD_overall_EA_JW_20180223_nstud23.dbgap.txt.gz	178405774	CKDGen direct; binary CKD European ancestry
chronic_kidney_disease_readme	metadata	ready_to_download	https://ckdgen.imbi.uni-freiburg.de/files/Wuttke2019/README.txt	data/genetics/phase4a_raw/chronic_kidney_disease_CKDGen_Wuttke2019	README.txt	1993	CKDGen README
type_2_diabetes	outcome_primary	ready_to_download	https://personal.broadinstitute.org/ryank/DIAMANTE.sumstats.zip	data/genetics/phase4a_raw/type_2_diabetes_DIAMANTE_Mahajan2022	DIAMANTE.sumstats.zip	1151385741	DIAMANTE zip; contains multiple ancestries and must be inspected before selecting European file
major_depression	outcome_primary	access_blocked_403	https://figshare.com/articles/dataset/MDD2_MDD2018_GWAS_sumstats_w_o_UKBB/21655784	data/genetics/phase4a_raw/major_depression_PGC_MDD2_noUKBB	NA	NA	Figshare API and ndownloader returned 403 in curl preflight
uveitis	outcome_primary	access_blocked_form_required	https://www.finngen.fi/en/access_results	data/genetics/phase4a_raw/uveitis_FinnGen	NA	NA	FinnGen requires access form/email instructions; do not replace with BBJ primary
MASLD	outcome_primary	pending_primary_url	https://kp4cd.org/node/782	data/genetics/phase4a_raw/MASLD_Ghodsian2021_NAFLD	NA	NA	Ghodsian 2021 preferred; exact public file URL still pending; Namjou GCST008471 rejected as primary
crohn_disease	outcome_primary	pending_primary_url	https://kp4cd.org/node/881	data/genetics/phase4a_raw/crohn_deLange2017	NA	NA	KP points to GWAS Catalog publication without direct full-summary file in current preflight
ulcerative_colitis	outcome_primary	pending_primary_url	https://kp4cd.org/node/882	data/genetics/phase4a_raw/uc_deLange2017	NA	NA	KP points to GWAS Catalog publication without direct full-summary file in current preflight
coronary_artery_disease	outcome_primary	pending_mendeley_resolution	https://data.mendeley.com/datasets/gbbsrpx6bs/1	data/genetics/phase4a_raw/cad_CARDIoGRAMplusC4D_UKBB	NA	NA	Mendeley dataset page identified; direct file URL pending
