zip_path	zip_exists	zip_size_mb	zip_status	has_besd	has_epi	has_esi	besd_uncompressed_mb	epi_uncompressed_mb	esi_uncompressed_mb	tissue	phase4c_tissue_group	phase4c_relevant	smr_usable	supports_formal_coloc	supports_smr_heidi	smr_runtime
/Volumes/EMPTY2TB/GTEx_v8_SMR/full_besd/Adipose_Subcutaneous.zip	True	1122.49	PASS	True	True	True	2533.36	0.88	300.92	Adipose_Subcutaneous	non_priority	False	True	False	True	Version 1.4.2 MacOS
/Volumes/EMPTY2TB/GTEx_v8_SMR/full_besd/Adipose_Visceral_Omentum.zip	True	1068.84	PASS	True	True	True	2484.49	0.88	294.59	Adipose_Visceral_Omentum	non_priority	False	True	False	True	Version 1.4.2 MacOS
/Volumes/EMPTY2TB/GTEx_v8_SMR/full_besd/Adrenal_Gland.zip	True	956.94	PASS	True	True	True	2372.01	0.85	292.06	Adrenal_Gland	non_priority	False	True	False	True	Version 1.4.2 MacOS
/Volumes/EMPTY2TB/GTEx_v8_SMR/full_besd/Artery_Aorta.zip	True	1003.49	PASS	True	True	True	2384.88	0.85	291.65	Artery_Aorta	vascular_arterial	True	True	False	True	Version 1.4.2 MacOS
/Volumes/EMPTY2TB/GTEx_v8_SMR/full_besd/Artery_Coronary.zip	True	965.95	PASS	True	True	True	2419.84	0.87	289.69	Artery_Coronary	vascular_arterial	True	True	False	True	Version 1.4.2 MacOS
/Volumes/EMPTY2TB/GTEx_v8_SMR/full_besd/Artery_Tibial.zip	True	1074.71	PASS	True	True	True	2408.06	0.83	302.2	Artery_Tibial	vascular_arterial	True	True	False	True	Version 1.4.2 MacOS
/Volumes/EMPTY2TB/GTEx_v8_SMR/full_besd/Brain_Amygdala.zip	True	832.3	PASS	True	True	True	2281.55	0.86	280.53	Brain_Amygdala	non_priority	False	True	False	True	Version 1.4.2 MacOS
/Volumes/EMPTY2TB/GTEx_v8_SMR/full_besd/Brain_Anterior_cingulate_cortex_BA24.zip	True	875.49	PASS	True	True	True	2349.81	0.87	286.11	Brain_Anterior_cingulate_cortex_BA24	non_priority	False	True	False	True	Version 1.4.2 MacOS
/Volumes/EMPTY2TB/GTEx_v8_SMR/full_besd/Brain_Caudate_basal_ganglia.zip	True	959.45	PASS	True	True	True	2441.41	0.88	293.41	Brain_Caudate_basal_ganglia	non_priority	False	True	False	True	Version 1.4.2 MacOS
/Volumes/EMPTY2TB/GTEx_v8_SMR/full_besd/Brain_Cerebellar_Hemisphere.zip	True	920.25	PASS	True	True	True	2410.51	0.9	285.35	Brain_Cerebellar_Hemisphere	non_priority	False	True	False	True	Version 1.4.2 MacOS
