resource	status	source	destination	note
ld_reference_bed	READY	/Volumes/EMPTY2TB/New project 12/data/reference/ld/g1000_eur.bed	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/genetics/reference/ld/g1000_eur/g1000_eur.bed	project-local symlink
ld_reference_bim	READY	/Volumes/EMPTY2TB/New project 12/data/reference/ld/g1000_eur.bim	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/genetics/reference/ld/g1000_eur/g1000_eur.bim	project-local symlink
ld_reference_fam	READY	/Volumes/EMPTY2TB/New project 12/data/reference/ld/g1000_eur.fam	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/genetics/reference/ld/g1000_eur/g1000_eur.fam	project-local symlink
gtex_besd_Skin_Sun_Exposed_Lower_leg	READY	/Volumes/EMPTY2TB/GTEx_v8_SMR/full_besd/Skin_Sun_Exposed_Lower_leg.zip	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/genetics/reference/gtex_v8_smr_besd/extracted/Skin_Sun_Exposed_Lower_leg/Skin_Sun_Exposed_Lower_leg	extracted
gtex_besd_Skin_Not_Sun_Exposed_Suprapubic	READY	/Volumes/EMPTY2TB/GTEx_v8_SMR/full_besd/Skin_Not_Sun_Exposed_Suprapubic.zip	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/genetics/reference/gtex_v8_smr_besd/extracted/Skin_Not_Sun_Exposed_Suprapubic/Skin_Not_Sun_Exposed_Suprapubic	extracted
gtex_besd_Whole_Blood	READY	/Volumes/EMPTY2TB/GTEx_v8_SMR/full_besd/Whole_Blood.zip	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/genetics/reference/gtex_v8_smr_besd/extracted/Whole_Blood/Whole_Blood	extracted
gtex_besd_Artery_Coronary	READY	/Volumes/EMPTY2TB/GTEx_v8_SMR/full_besd/Artery_Coronary.zip	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/genetics/reference/gtex_v8_smr_besd/extracted/Artery_Coronary/Artery_Coronary	extracted
gtex_besd_Artery_Aorta	READY	/Volumes/EMPTY2TB/GTEx_v8_SMR/full_besd/Artery_Aorta.zip	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/genetics/reference/gtex_v8_smr_besd/extracted/Artery_Aorta/Artery_Aorta	extracted
gtex_besd_Artery_Tibial	READY	/Volumes/EMPTY2TB/GTEx_v8_SMR/full_besd/Artery_Tibial.zip	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/genetics/reference/gtex_v8_smr_besd/extracted/Artery_Tibial/Artery_Tibial	extracted
gtex_besd_Colon_Sigmoid	READY	/Volumes/EMPTY2TB/GTEx_v8_SMR/full_besd/Colon_Sigmoid.zip	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/genetics/reference/gtex_v8_smr_besd/extracted/Colon_Sigmoid/Colon_Sigmoid	extracted
gtex_besd_Colon_Transverse	READY	/Volumes/EMPTY2TB/GTEx_v8_SMR/full_besd/Colon_Transverse.zip	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/genetics/reference/gtex_v8_smr_besd/extracted/Colon_Transverse/Colon_Transverse	extracted
gtex_besd_Spleen	READY	/Volumes/EMPTY2TB/GTEx_v8_SMR/full_besd/Spleen.zip	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/genetics/reference/gtex_v8_smr_besd/extracted/Spleen/Spleen	extracted
gtex_besd_Cells_EBV-transformed_lymphocytes	READY	/Volumes/EMPTY2TB/GTEx_v8_SMR/full_besd/Cells_EBV-transformed_lymphocytes.zip	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/genetics/reference/gtex_v8_smr_besd/extracted/Cells_EBV-transformed_lymphocytes/Cells_EBV-transformed_lymphocytes	extracted
gtex_besd_Cells_Cultured_fibroblasts	READY	/Volumes/EMPTY2TB/GTEx_v8_SMR/full_besd/Cells_Cultured_fibroblasts.zip	/Volumes/EMPTY2TB/银屑病机制论文设计/psoriasis_endotype_comorbidity/data/genetics/reference/gtex_v8_smr_besd/extracted/Cells_Cultured_fibroblasts/Cells_Cultured_fibroblasts	extracted
