outcome	tissue	n_results	n_global_fdr	n_global_fdr_heidi	min_p_smr	min_fdr_global
cad	Skin_Sun_Exposed_Lower_leg	93	11	11	7.346519e-11	6.7894079758333326e-09
cad	Skin_Not_Sun_Exposed_Suprapubic	83	10	7	5.061803e-09	2.1590536642307695e-07
cad	Artery_Tibial	76	10	9	7.3908e-08	2.4107050588235295e-06
cad	Artery_Aorta	58	9	6	3.246199e-07	8.78057241707317e-06
cad	Whole_Blood	97	11	10	7.687751e-07	1.764472865714286e-05
cad	Artery_Coronary	14	3	3	2.211949e-05	0.00029202993345238095
crohn	Skin_Sun_Exposed_Lower_leg	42	15	10	8.315392999999999e-19	9.221770836999999e-16
crohn	Skin_Not_Sun_Exposed_Suprapubic	35	11	7	4.5976370000000004e-17	2.5493897165000002e-14
crohn	Whole_Blood	43	14	6	4.921599e-16	1.819351097e-13
crohn	Spleen	26	8	4	7.38981e-13	1.365883215e-10
crohn	Colon_Transverse	30	9	6	2.78993e-10	1.93377023125e-08
crohn	Colon_Sigmoid	28	10	5	3.845005e-10	2.368950302777778e-08
crohn	Cells_EBV-transformed_lymphocytes	5	2	0	5.056067e-07	1.2743587052272728e-05
psa	Skin_Not_Sun_Exposed_Suprapubic	71	19	14	1.805542e-14	5.005865194999999e-12
psa	Skin_Sun_Exposed_Lower_leg	80	14	12	3.113118e-11	3.83605318e-09
psa	Spleen	50	9	7	3.882572e-11	4.305772348e-09
psa	Whole_Blood	89	18	12	9.460391e-10	4.5615537473913046e-08
psa	Cells_EBV-transformed_lymphocytes	22	5	5	5.535697e-08	1.9184649915625e-06
uc	Whole_Blood	35	14	10	3.550683e-12	5.625296352857143e-10
uc	Spleen	24	9	6	5.476116e-11	5.520920585454545e-09
uc	Cells_EBV-transformed_lymphocytes	9	2	2	3.437696e-10	2.2425910964705884e-08
uc	Colon_Transverse	19	6	5	1.921433e-09	8.523476788000001e-08
uc	Colon_Sigmoid	18	6	5	1.007496e-07	3.1036474000000002e-06
uc	Skin_Sun_Exposed_Lower_leg	32	13	9	9.977002e-07	2.0876406071698115e-05
uc	Skin_Not_Sun_Exposed_Suprapubic	30	10	5	4.824645e-05	0.0005090064361682243
