outcome	phase4c_role	phase4c_eqtl_gene_tier	n_gene_tissue_rows	n_genes	n_loci	n_tissues	n_smr_usable_rows	n_eqtl_catalogue_remote_tabix_rows	n_coloc_ready_rows	coloc_feasibility_status
cad	primary_systemic_cardiovascular	A_local_Tier1_recurrent_SMR2	19	8	4	6	19	19	0	FEASIBLE_VIA_EQTL_CATALOGUE_REMOTE_TABIX
cad	primary_systemic_cardiovascular	B_local_Tier1_single_tissue_SMR2	7	7	2	2	7	7	0	FEASIBLE_VIA_EQTL_CATALOGUE_REMOTE_TABIX
cad	primary_systemic_cardiovascular	B_local_Tier2_recurrent_SMR2	11	4	2	5	11	11	0	FEASIBLE_VIA_EQTL_CATALOGUE_REMOTE_TABIX
cad	primary_systemic_cardiovascular	C_local_Tier2_single_tissue_SMR2	7	7	3	4	7	7	0	FEASIBLE_VIA_EQTL_CATALOGUE_REMOTE_TABIX
crohn	ibd_direction_heterogeneity	A_local_Tier1_recurrent_SMR2	24	7	3	6	24	24	0	FEASIBLE_VIA_EQTL_CATALOGUE_REMOTE_TABIX
crohn	ibd_direction_heterogeneity	B_local_Tier1_single_tissue_SMR2	14	14	7	6	14	14	0	FEASIBLE_VIA_EQTL_CATALOGUE_REMOTE_TABIX
psa	positive_control_near_neighbor	A_local_Tier1_recurrent_SMR2	39	12	5	5	39	39	0	FEASIBLE_VIA_EQTL_CATALOGUE_REMOTE_TABIX
psa	positive_control_near_neighbor	B_local_Tier1_single_tissue_SMR2	11	11	6	3	11	11	0	FEASIBLE_VIA_EQTL_CATALOGUE_REMOTE_TABIX
uc	ibd_direction_heterogeneity	A_local_Tier1_recurrent_SMR2	26	6	3	7	26	26	0	FEASIBLE_VIA_EQTL_CATALOGUE_REMOTE_TABIX
uc	ibd_direction_heterogeneity	B_local_Tier1_single_tissue_SMR2	12	12	5	4	12	12	0	FEASIBLE_VIA_EQTL_CATALOGUE_REMOTE_TABIX
uc	ibd_direction_heterogeneity	B_local_Tier2_recurrent_SMR2	2	1	1	2	2	2	0	FEASIBLE_VIA_EQTL_CATALOGUE_REMOTE_TABIX
uc	ibd_direction_heterogeneity	C_local_Tier2_single_tissue_SMR2	2	2	1	2	2	2	0	FEASIBLE_VIA_EQTL_CATALOGUE_REMOTE_TABIX
