endotype	feature	discovery_effect
E1	NL__pathway::Endothelial_activation	-1.3088943908253505
E1	NL__cell_state::Endothelial	-1.3088943908253505
E1	NL__cell_state::Monocytes_macrophages	-1.2798567260684255
E1	NL__pathway::Angiogenesis	-1.0400408743529581
E1	NL__pathway::Fibroblast_activation	-0.9907094384057542
E1	NL__cell_state::Keratinocyte	0.9717804327868413
E1	LS__cell_state::Monocytes_macrophages	-0.9207596792485127
E1	NL__cell_state::Fibroblast	-0.9068152294136238
E1	NL__cell_state::NK_cells	-0.9043972123228187
E1	NL__pathway::Type_I_interferon	-0.9027205289886071
E1	LS__pathway::Keratinocyte_differentiation	0.8283133786120973
E1	NL__pathway::Complement	-0.784783910158138
E1	NL__pathway::ECM_organization	-0.7811829817520367
E1	LS__pathway::Type_II_interferon	-0.7537845574673753
E1	LS__cell_state::CD8_TRM	-0.7509051349236642
E1	LS__pathway::IL23_signaling	-0.696694075616605
E1	LS__pathway::Type_I_interferon	-0.6763612730536248
E1	LS__cell_state::NK_cells	-0.6561191608347743
E1	LS__pathway::Neutrophil_activation	-0.6414538391822656
E1	NL__pathway::Keratinocyte_differentiation	0.6283915555060134
E1	LS__pathway::Epidermal_proliferation	-0.6193076155977438
E1	NL__Hallmark::HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.5976457074432453
E1	LS__pathway::Hypoxia	-0.5770022528338123
E1	NL__Hallmark::HALLMARK_ANGIOGENESIS	-0.5753357676764553
E1	NL__pathway::Oxidative_stress	-0.5706040032283766
E1	LS__Hallmark::HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.49590449823326643
E1	NL__pathway::Type_II_interferon	-0.4858920594688382
E1	LS__cell_state::Neutrophils	-0.4823075267852458
E1	NL__pathway::Insulin_signaling	-0.47663482992036443
E1	NL__Hallmark::HALLMARK_COAGULATION	-0.46776399769174326
E2	NL__pathway::Endothelial_activation	1.3088943908253505
E2	NL__cell_state::Endothelial	1.3088943908253505
E2	NL__cell_state::Monocytes_macrophages	1.2798567260684255
E2	NL__pathway::Angiogenesis	1.0400408743529581
E2	NL__pathway::Fibroblast_activation	0.9907094384057542
E2	NL__cell_state::Keratinocyte	-0.9717804327868413
E2	LS__cell_state::Monocytes_macrophages	0.9207596792485127
E2	NL__cell_state::Fibroblast	0.9068152294136238
E2	NL__cell_state::NK_cells	0.9043972123228187
E2	NL__pathway::Type_I_interferon	0.9027205289886071
E2	LS__pathway::Keratinocyte_differentiation	-0.8283133786120973
E2	NL__pathway::Complement	0.784783910158138
E2	NL__pathway::ECM_organization	0.7811829817520367
E2	LS__pathway::Type_II_interferon	0.7537845574673753
E2	LS__cell_state::CD8_TRM	0.7509051349236642
E2	LS__pathway::IL23_signaling	0.696694075616605
E2	LS__pathway::Type_I_interferon	0.6763612730536248
E2	LS__cell_state::NK_cells	0.6561191608347743
E2	LS__pathway::Neutrophil_activation	0.6414538391822656
E2	NL__pathway::Keratinocyte_differentiation	-0.6283915555060134
E2	LS__pathway::Epidermal_proliferation	0.6193076155977438
E2	NL__Hallmark::HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.5976457074432453
E2	LS__pathway::Hypoxia	0.5770022528338123
E2	NL__Hallmark::HALLMARK_ANGIOGENESIS	0.5753357676764553
E2	NL__pathway::Oxidative_stress	0.5706040032283766
E2	LS__Hallmark::HALLMARK_INTERFERON_ALPHA_RESPONSE	0.49590449823326643
E2	NL__pathway::Type_II_interferon	0.4858920594688382
E2	LS__cell_state::Neutrophils	0.4823075267852458
E2	NL__pathway::Insulin_signaling	0.47663482992036443
E2	NL__Hallmark::HALLMARK_COAGULATION	0.46776399769174326
