variable	test	p_value	notes	rho
pasi	Kruskal-Wallis	0.9390126998495942		
bmi	Kruskal-Wallis	0.06346985803803368		
age	Kruskal-Wallis	0.1281807350559394		
sex	Fisher exact	1.0		
hla_c0602_carrier	cross_tab_shape		(2, 3)	
drug	Fisher exact	0.06766686389257781		
psoriatic_arthritis	Fisher exact	1.0		
PC1~pasi	Spearman	0.1539664913616122		0.15887494515642933
PC1~bmi	Spearman	0.312813398496704		-0.11355013550135501
PC1~age	Spearman	0.06778353897104362		0.20270935478511676
PC2~pasi	Spearman	0.005820065193847399		0.3020321991093863
PC2~bmi	Spearman	0.002961854959984131		0.3261743450767841
PC2~age	Spearman	0.7231539492698418		0.03971426359931887
PC3~pasi	Spearman	0.3033508150583835		0.11505262882320214
PC3~bmi	Spearman	0.5490642834191828		-0.06754742547425474
PC3~age	Spearman	0.8853456274273472		-0.01617101218672567
PC4~pasi	Spearman	0.7095516640132619		0.04175419906961243
PC4~bmi	Spearman	0.13537430662356728		0.1673441734417344
PC4~age	Spearman	0.8029090080356986		0.02798619617500672
PC5~pasi	Spearman	0.6772662715311732		0.04665237153606853
PC5~bmi	Spearman	0.3457307093569012		-0.10612014453477868
PC5~age	Spearman	0.21762432693292888		0.13761150235936181
