locus	chr	start	stop	outcome	status
2318	19	10028841	11681978	cad	OK
1674	11	64594823	66782661	cad	OK
1351	8	125453323	126766827	cad	OK
1841	12	111592382	113947983	cad	OK
36	1	38474037	40200950	cad	OK
1559	10	79952997	81190573	cad	OK
927	6	1380680	2746531	cad	OK
1453	9	109150718	110630150	cad	OK
2026	14	99474534	100786189	cad	OK
1569	10	89971629	91021321	cad	OK
898	5	148662215	149850203	cad	OK
112	1	153410810	154685545	cad	OK
906	5	156345452	157191081	cad	OK
2230	17	73741322	74908266	cad	OK
1966	14	33591114	34695195	cad	OK
1209	7	130418705	131856481	cad	OK
2432	21	15840034	16873443	cad	OK
267	2	59251997	60775066	cad	OK
2205	17	40233546	42348003	cad	OK
970	6	33864263	34979270	cad	OK
47	1	54771294	55727134	cad	OK
101	1	114664388	116207297	cad	OK
110	1	151146408	152535630	cad	OK
347	2	161432090	163607635	cad	OK
97	1	110224231	111134062	cad	OK
2182	17	8554764	9619356	cad	OK
438	3	16084006	17182494	cad	OK
269	2	62429911	63672118	cad	OK
431	3	8664893	9970731	cad	OK
893	5	141253831	142532956	cad	OK
1913	13	73114510	74437635	cad	OK
126	1	168179087	169521551	cad	OK
785	5	9203856	10549029	cad	OK
2351	19	45040933	45893307	cad	OK
2450	21	35729262	37303548	cad	OK
1191	7	105312564	106399739	cad	OK
313	2	121073753	122026817	cad	OK
155	1	201067953	202583884	cad	OK
2138	16	57119890	58508978	cad	OK
113	1	154685546	156813845	cad	OK
907	5	157191082	158484775	cad	OK
2449	21	34383795	35729261	cad	OK
88	1	101188316	102424611	cad	OK
1852	12	124843769	126079935	cad	OK
945	6	21295865	22199713	cad	OK
1544	10	62626466	64069687	cad	OK
652	4	55681702	57103100	cad	OK
2181	17	7264459	8554763	cad	OK
584	3	186602046	187939199	cad	OK
2162	16	81437862	82310204	cad	OK
2369	20	60795	884241	cad	OK
2314	19	6455429	7249359	cad	OK
2094	15	94565522	95662425	cad	OK
2471	22	26166935	27192923	cad	OK
938	6	15069422	16566882	cad	OK
2106	16	4816146	5782968	cad	OK
2095	15	95662426	96864278	cad	OK
1671	11	60515106	61717117	cad	OK
638	4	37880861	38984838	cad	OK
1740	12	60317	1078397	cad	OK
2022	14	95946793	97174314	cad	OK
1223	7	149843000	150897818	cad	OK
2220	17	62112374	63548724	cad	OK
2050	15	40604781	42332685	cad	OK
2076	15	74458114	76401952	cad	OK
1215	7	138755108	140217630	cad	OK
2072	15	69089816	70767983	cad	OK
1965	14	32382246	33591113	cad	OK
2469	22	23950733	25282436	cad	OK
2135	16	53393883	54866095	cad	OK
2422	20	56951774	57924037	cad	OK
1424	9	78630916	79451035	cad	OK
2284	18	55809316	56832312	cad	OK
2048	15	37962916	39238840	cad	OK
1554	10	72659224	73514214	cad	OK
2169	16	86748868	87669168	cad	OK
1073	6	150635316	151629954	cad	OK
251	2	45850048	46499326	cad	OK
1850	12	121817510	123396634	cad	OK
1846	12	117091844	118256124	cad	OK
926	6	63979	1380679	cad	OK
1873	13	28587126	30068525	cad	OK
603	4	5972710	7135819	cad	OK
1072	6	149278799	150635315	cad	OK
2482	22	37364005	38718589	cad	OK
2412	20	48212976	49236418	cad	OK
1493	10	6234719	6897037	cad	OK
1733	11	128262551	129451784	cad	OK
974	6	38688721	39785907	cad	OK
854	5	95117260	96467377	cad	OK
221	2	15721704	17241115	cad	OK
1732	11	127306872	128262550	cad	OK
275	2	68877775	70756283	cad	OK
581	3	183203156	184524268	cad	OK
2274	18	45718493	46558306	cad	OK
936	6	11790672	13352326	cad	OK
1353	8	128073655	129291118	cad	OK
1267	8	21650454	22895018	cad	OK
2165	16	83778372	84440154	cad	OK
271	2	64696090	65938002	cad	OK
40	1	43512670	45167235	cad	OK
2379	20	9279551	10279603	cad	OK
768	4	184338585	185483262	cad	OK
1555	10	73514215	75694023	cad	OK
2167	16	85146806	86058597	cad	OK
781	5	4636543	5828694	cad	OK
335	2	144503689	145977920	cad	OK
1389	9	14244748	14902924	cad	OK
2355	19	48573066	49415189	cad	OK
915	5	166863414	168342743	cad	OK
2232	17	75619257	76596287	cad	OK
2231	17	74908267	75619256	cad	OK
2039	15	26392948	27563172	cad	OK
1856	12	128372589	129170296	cad	OK
1037	6	106053916	107309327	cad	OK
897	5	147180172	148662214	cad	OK
1119	7	20122180	21390644	cad	OK
1568	10	88443653	89971628	cad	OK
