locus	chr	start	stop	status
1	1	10539	1376204	OK
2	1	1376205	2215495	OK
3	1	2215496	2983519	OK
4	1	2983520	3582047	OK
5	1	3582048	4281476	OK
6	1	4281477	4773403	OK
7	1	4773404	5362404	OK
8	1	5362405	6136814	OK
9	1	6136815	7711794	OK
10	1	7711795	8580987	OK
11	1	8580988	9475966	OK
12	1	9475967	10753427	OK
13	1	10753428	11709173	OK
14	1	11709174	13481025	OK
15	1	13481026	14720131	OK
16	1	14720132	15755230	OK
17	1	15755231	16732168	OK
18	1	16732169	17557746	OK
19	1	17557747	18427820	OK
20	1	18427821	19238924	OK
21	1	19238925	20556202	OK
22	1	20556203	21416121	OK
23	1	21416122	22145629	OK
24	1	22145630	22740287	OK
25	1	22740288	23907045	OK
26	1	23907046	25885138	OK
27	1	25885139	27992665	OK
28	1	27992666	29188426	OK
29	1	29188427	30405182	OK
30	1	30405183	31639217	OK
31	1	31639218	33066846	OK
32	1	33066847	34371022	OK
33	1	34371023	35201626	OK
34	1	35201627	36855139	OK
35	1	36855140	38474036	OK
36	1	38474037	40200950	OK
37	1	40200951	41093875	OK
38	1	41093876	41977966	OK
39	1	41977967	43512669	OK
40	1	43512670	45167235	OK
41	1	45167236	47257261	OK
42	1	47257262	48105233	OK
43	1	48105234	49185414	OK
44	1	49185415	51777577	OK
45	1	51777578	53114186	OK
46	1	53114187	54771293	OK
47	1	54771294	55727134	OK
48	1	55727135	56799636	OK
49	1	56799637	57529670	OK
50	1	57529671	58387483	OK
51	1	58387484	59889045	OK
52	1	59889046	61377615	OK
53	1	61377616	62778733	OK
54	1	62778734	64344226	OK
55	1	64344227	65894184	OK
56	1	65894185	66778015	OK
57	1	66778016	67761890	OK
58	1	67761891	68633860	OK
59	1	68633861	69438909	OK
60	1	69438910	70992905	OK
61	1	70992906	72513119	OK
62	1	72513120	73992170	OK
63	1	73992171	75132092	OK
64	1	75132093	76097247	OK
65	1	76097248	76977915	OK
66	1	76977916	77895394	OK
67	1	77895395	79065286	OK
68	1	79065287	80099353	OK
69	1	80099354	80781442	OK
70	1	80781443	82123368	OK
71	1	82123369	83461215	OK
72	1	83461216	84728347	OK
73	1	84728348	86017267	OK
74	1	86017268	86761554	OK
75	1	86761555	87667572	OK
76	1	87667573	88656689	OK
77	1	88656690	89753964	OK
78	1	89753965	90941549	OK
79	1	90941550	91870059	OK
80	1	91870060	92904465	OK
81	1	92904466	94168576	OK
82	1	94168577	95122541	OK
83	1	95122542	96147576	OK
84	1	96147577	97721186	OK
85	1	97721187	99425000	OK
86	1	99425001	100269207	OK
87	1	100269208	101188315	OK
