locus	chr	start	stop	outcome	status
926	6	63979	1380679	cad	OK
1873	13	28587126	30068525	cad	OK
603	4	5972710	7135819	cad	OK
1072	6	149278799	150635315	cad	OK
2482	22	37364005	38718589	cad	OK
2412	20	48212976	49236418	cad	OK
1493	10	6234719	6897037	cad	OK
1733	11	128262551	129451784	cad	OK
974	6	38688721	39785907	cad	OK
854	5	95117260	96467377	cad	OK
221	2	15721704	17241115	cad	OK
1732	11	127306872	128262550	cad	OK
275	2	68877775	70756283	cad	OK
581	3	183203156	184524268	cad	OK
2274	18	45718493	46558306	cad	OK
936	6	11790672	13352326	cad	OK
1353	8	128073655	129291118	cad	OK
1267	8	21650454	22895018	cad	OK
2165	16	83778372	84440154	cad	OK
271	2	64696090	65938002	cad	OK
