outcome	tissue	gene	gene_id	locus	region	phase4br_tier	local_direction_group	phase4c_eqtl_gene_tier	n_eqtl_variants	n_gwas_variants	n_matched_variants	nsnps	gwas_n	gwas_case_fraction	eqtl_n	maf_source	status	PP.H0.abf	PP.H1.abf	PP.H2.abf	PP.H3.abf	PP.H4.abf	note	interpretation_tier
uc	Colon_Sigmoid	TCTEX1D1	ENSG00000152760	57	1:66312592-67296179	Tier 1	negative_local_rg	A_local_Tier1_recurrent_SMR2	3347	3354	2775	2775	45975	0.268972267536705	318	eqtl_maf_proxy	PASS	3.53645169088198e-40	2.40900140782754e-06	1.46801175766265e-34	0.999997370034299	2.20964292302324e-07	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
uc	Colon_Transverse	TCTEX1D1	ENSG00000152760	57	1:66312592-67296179	Tier 1	negative_local_rg	A_local_Tier1_recurrent_SMR2	3347	3354	2777	2777	45975	0.268972267536705	368	eqtl_maf_proxy	PASS	1.1368304234675e-41	7.74399406516817e-08	1.46801548280453e-34	0.999999907776076	1.47839764793716e-08	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
uc	Skin_Sun_Exposed_Lower_leg	TCTEX1D1	ENSG00000152760	57	1:66312592-67296179	Tier 1	negative_local_rg	A_local_Tier1_recurrent_SMR2	3347	3354	2769	2769	45975	0.268972267536705	605	eqtl_maf_proxy	PASS	3.09824966506062e-49	2.1105018412031e-15	1.46801561816902e-34	1	1.64316391150072e-16	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
uc	Spleen	TCTEX1D1	ENSG00000152760	57	1:66312592-67296179	Tier 1	negative_local_rg	A_local_Tier1_recurrent_SMR2	3347	3354	2775	2775	45975	0.268972267536705	227	eqtl_maf_proxy	PASS	1.30406993999728e-39	8.8832157087251e-06	1.4680015288628e-34	0.99999040176707	7.15017214215934e-07	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
uc	Whole_Blood	TCTEX1D1	ENSG00000152760	57	1:66312592-67296179	Tier 1	negative_local_rg	A_local_Tier1_recurrent_SMR2	3347	3354	2776	2776	45975	0.268972267536705	670	eqtl_maf_proxy	PASS	7.43061620613877e-96	5.06167380930634e-62	1.46801561816902e-34	1	1.88769830939721e-34	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
uc	Cells_EBV-transformed_lymphocytes	ORMDL3	ENSG00000172057	2203	17:39205766-40724180	Tier 1	negative_local_rg	A_local_Tier1_recurrent_SMR2	3663	3826	2895	2895	45975	0.268972267536705	147	eqtl_maf_proxy	PASS	7.72825440522752e-52	1.11486829970812e-39	6.89551633134502e-13	0.994733281579931	0.00526671841937922	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
uc	Spleen	ORMDL3	ENSG00000172057	2203	17:39205766-40724180	Tier 1	negative_local_rg	A_local_Tier1_recurrent_SMR2	3668	3826	2903	2903	45975	0.268972267536705	227	eqtl_maf_proxy	PASS	1.77102996370423e-51	2.55486564105956e-39	6.8957247839343e-13	0.994763382871857	0.00523661712744878	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
uc	Whole_Blood	ORMDL3	ENSG00000172057	2203	17:39205766-40724180	Tier 1	negative_local_rg	A_local_Tier1_recurrent_SMR2	3668	3826	2904	2904	45975	0.268972267536705	670	eqtl_maf_proxy	PASS	4.07131159916648e-70	5.87322311421278e-58	6.89641567430451e-13	0.994863149621132	0.00513685037816566	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
uc	Cells_EBV-transformed_lymphocytes	GSDMB	ENSG00000073605	2203	17:39205766-40724180	Tier 1	negative_local_rg	A_local_Tier1_recurrent_SMR2	3663	3826	2895	2895	45975	0.268972267536705	147	eqtl_maf_proxy	PASS	1.45582340674185e-20	2.10015261020875e-08	6.89542394814416e-13	0.99471994117568	0.00528003782210335	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
uc	Colon_Transverse	GSDMB	ENSG00000073605	2203	17:39205766-40724180	Tier 1	negative_local_rg	A_local_Tier1_recurrent_SMR2	3668	3826	2903	2903	45975	0.268972267536705	368	eqtl_maf_proxy	PASS	3.74376339920744e-26	5.40070618348273e-14	3.55842923539591e-13	0.5128473914269	0.487152608572689	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
uc	Skin_Sun_Exposed_Lower_leg	GSDMB	ENSG00000073605	2203	17:39205766-40724180	Tier 1	negative_local_rg	A_local_Tier1_recurrent_SMR2	3668	3826	2903	2903	45975	0.268972267536705	605	eqtl_maf_proxy	PASS	3.60918983419188e-17	5.20657204425822e-05	6.90859622860086e-13	0.99662211205683	0.00332582222203421	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
uc	Spleen	GSDMB	ENSG00000073605	2203	17:39205766-40724180	Tier 1	negative_local_rg	A_local_Tier1_recurrent_SMR2	3668	3826	2903	2903	45975	0.268972267536705	227	eqtl_maf_proxy	PASS	8.58724431982631e-69	1.23878510887646e-56	6.89551874192888e-13	0.994733629757089	0.00526637024220903	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
uc	Colon_Sigmoid	GSDMA	ENSG00000167914	2203	17:39205766-40724180	Tier 1	negative_local_rg	A_local_Tier1_recurrent_SMR2	3668	3826	2903	2903	45975	0.268972267536705	318	eqtl_maf_proxy	PASS	1.45440947461238e-38	2.0981128892396e-26	6.93198594126925e-13	0.999999608059517	3.91939786680574e-07	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
uc	Colon_Transverse	GSDMA	ENSG00000167914	2203	17:39205766-40724180	Tier 1	negative_local_rg	A_local_Tier1_recurrent_SMR2	3668	3826	2903	2903	45975	0.268972267536705	368	eqtl_maf_proxy	PASS	4.72577254414164e-69	6.81734027483734e-57	6.93198603859505e-13	0.999999622204698	3.7779460060661e-07	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
uc	Skin_Not_Sun_Exposed_Suprapubic	GSDMA	ENSG00000167914	2203	17:39205766-40724180	Tier 1	negative_local_rg	A_local_Tier1_recurrent_SMR2	3668	3826	2903	2903	45975	0.268972267536705	517	eqtl_maf_proxy	PASS	2.91023208265547e-15	0.00419824055942464	6.88376420921602e-13	0.993034808192123	0.00276695124776315	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
uc	Skin_Sun_Exposed_Lower_leg	GSDMA	ENSG00000167914	2203	17:39205766-40724180	Tier 1	negative_local_rg	A_local_Tier1_recurrent_SMR2	3668	3826	2903	2903	45975	0.268972267536705	605	eqtl_maf_proxy	PASS	2.93675768813631e-21	4.23652985358542e-09	6.93198235024967e-13	0.999999089587301	9.06175474624581e-07	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
uc	Colon_Sigmoid	SMARCE1	ENSG00000073584	2203	17:39205766-40724180	Tier 1	negative_local_rg	A_local_Tier1_recurrent_SMR2	2615	3826	2097	2097	45975	0.268972267536705	318	eqtl_maf_proxy	PASS	4.04998171137214e-37	5.84245288423897e-25	6.93198864139386e-13	0.999999997965901	2.03341125605355e-09	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
uc	Colon_Transverse	SMARCE1	ENSG00000073584	2203	17:39205766-40724180	Tier 1	negative_local_rg	A_local_Tier1_recurrent_SMR2	2615	3826	2097	2097	45975	0.268972267536705	368	eqtl_maf_proxy	PASS	1.42426938510295e-26	2.05463317385339e-14	6.93198865469698e-13	0.999999999977952	2.13377332526962e-11	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
