phen	h2.obs	h2.latent	ascertained	p	locus	chr	start	stop	outcome
psoriasis	0.00125895	0.00440392	FALSE	2.90753e-09	47	1	54771294	55727134	cad
cad	0.000423175	0.000821515	FALSE	6.32499e-21	47	1	54771294	55727134	cad
psoriasis	0.0011449	0.00400497	FALSE	7.55447e-08	101	1	114664388	116207297	cad
cad	0.000396881	0.000770471	FALSE	1.97952e-18	101	1	114664388	116207297	cad
psoriasis	0.00136358	0.00476993	FALSE	1.74049e-13	110	1	151146408	152535630	cad
cad	0.000200235	0.000388719	FALSE	1.0364e-09	110	1	151146408	152535630	cad
psoriasis	0.00495075	0.0173182	FALSE	1.99414e-67	347	2	161432090	163607635	cad
cad	0.00018963	0.000368131	FALSE	4.67602e-08	347	2	161432090	163607635	cad
psoriasis	0.00132923	0.00464978	FALSE	1.06679e-09	97	1	110224231	111134062	cad
cad	0.000211281	0.000410163	FALSE	8.56855e-08	97	1	110224231	111134062	cad
psoriasis	0.00149963	0.00524586	FALSE	1.49227e-10	2182	17	8554764	9619356	cad
cad	0.000232153	0.000450682	FALSE	3.93879e-08	2182	17	8554764	9619356	cad
psoriasis	0.00150708	0.00527192	FALSE	6.51113e-12	438	3	16084006	17182494	cad
cad	0.00018825	0.000365452	FALSE	8.44855e-07	438	3	16084006	17182494	cad
psoriasis	0.00123011	0.00430305	FALSE	2.28759e-11	269	2	62429911	63672118	cad
cad	0.0001866	0.000362248	FALSE	1.63731e-08	269	2	62429911	63672118	cad
psoriasis	0.00177262	0.00620081	FALSE	5.64969e-12	431	3	8664893	9970731	cad
cad	0.0002468	0.000479116	FALSE	7.31928e-08	431	3	8664893	9970731	cad
psoriasis	0.00143954	0.00503564	FALSE	8.19548e-10	893	5	141253831	142532956	cad
cad	0.000322615	0.000626298	FALSE	8.41244e-13	893	5	141253831	142532956	cad
psoriasis	0.00106366	0.00372079	FALSE	5.72218e-07	1913	13	73114510	74437635	cad
cad	0.000321619	0.000624363	FALSE	1.65884e-13	1913	13	73114510	74437635	cad
psoriasis	0.0012799	0.0044772	FALSE	2.49293e-09	126	1	168179087	169521551	cad
cad	0.000305584	0.000593235	FALSE	5.30138e-13	126	1	168179087	169521551	cad
psoriasis	0.00192815	0.00674486	FALSE	1.85604e-13	785	5	9203856	10549029	cad
cad	0.000244651	0.000474943	FALSE	8.33268e-08	785	5	9203856	10549029	cad
psoriasis	0.0010151	0.00355092	FALSE	7.46665e-08	2351	19	45040933	45893307	cad
cad	0.000944825	0.0018342	FALSE	5.39079e-69	2351	19	45040933	45893307	cad
psoriasis	0.00265154	0.00927533	FALSE	6.8675e-23	2450	21	35729262	37303548	cad
cad	0.000266745	0.000517836	FALSE	2.13973e-09	2450	21	35729262	37303548	cad
psoriasis	0.00120068	0.00420009	FALSE	5.28487e-08	1191	7	105312564	106399739	cad
cad	0.000228441	0.000443476	FALSE	3.84712e-08	1191	7	105312564	106399739	cad
psoriasis	0.00124252	0.00434647	FALSE	1.18581e-08	313	2	121073753	122026817	cad
cad	0.000188344	0.000365635	FALSE	1.3065e-06	313	2	121073753	122026817	cad
psoriasis	0.00129235	0.00452078	FALSE	5.85234e-08	155	1	201067953	202583884	cad
cad	0.000264357	0.000513199	FALSE	6.32144e-09	155	1	201067953	202583884	cad
psoriasis	0.00124652	0.00436046	FALSE	6.53849e-08	2138	16	57119890	58508978	cad
cad	0.000212579	0.000412683	FALSE	6.00455e-07	2138	16	57119890	58508978	cad
psoriasis	0.00142872	0.00499781	FALSE	4.94652e-10	113	1	154685546	156813845	cad
cad	0.000241219	0.000468282	FALSE	1.14644e-08	113	1	154685546	156813845	cad
