axis	program_type	gene_symbol	gene_id	chromosome	start	end	MHC_definition
F1	CORE	MRPS18B	28973	6	30585275	30594174	chr6:25000000-34000000_GRCh37
F1	EXTENDED	ATP6V1G2	534	6	31512228	31514625	chr6:25000000-34000000_GRCh37
F1	EXTENDED	ITPR3	3710	6	33587951	33664351	chr6:25000000-34000000_GRCh37
F1	EXTENDED	MRPS18B	28973	6	30585275	30594174	chr6:25000000-34000000_GRCh37
F1	EXTENDED	NOTCH4	4855	6	32162620	32191844	chr6:25000000-34000000_GRCh37
F1	EXTENDED	PSMB8	5696	6	32808494	32812712	chr6:25000000-34000000_GRCh37
F1	EXTENDED	PSMB9	5698	6	32821927	32827628	chr6:25000000-34000000_GRCh37
F2	CORE	FLOT1	10211	6	30695506	30710687	chr6:25000000-34000000_GRCh37
F2	CORE	GTF2H4	2968	6	30875957	30881883	chr6:25000000-34000000_GRCh37
F2	CORE	IER3	8870	6	30710976	30712327	chr6:25000000-34000000_GRCh37
F2	CORE	RGL2	5863	6	33259431	33267386	chr6:25000000-34000000_GRCh37
F2	CORE	SYNGAP1	8831	6	33387847	33421466	chr6:25000000-34000000_GRCh37
F2	EXTENDED	COL11A2	1302	6	33130469	33160245	chr6:25000000-34000000_GRCh37
F2	EXTENDED	DDR1	780	6	30850694	30867933	chr6:25000000-34000000_GRCh37
F2	EXTENDED	FLOT1	10211	6	30695506	30710687	chr6:25000000-34000000_GRCh37
F2	EXTENDED	GTF2H4	2968	6	30875957	30881883	chr6:25000000-34000000_GRCh37
F2	EXTENDED	IER3	8870	6	30710976	30712327	chr6:25000000-34000000_GRCh37
F2	EXTENDED	ITPR3	3710	6	33587951	33664351	chr6:25000000-34000000_GRCh37
F2	EXTENDED	RGL2	5863	6	33259431	33267386	chr6:25000000-34000000_GRCh37
F2	EXTENDED	RPP21	79897	6	30312897	30314635	chr6:25000000-34000000_GRCh37
F2	EXTENDED	SYNGAP1	8831	6	33387847	33421466	chr6:25000000-34000000_GRCh37
F6	CORE	RNF5	6048	6	32146162	32148570	chr6:25000000-34000000_GRCh37
F6	EXTENDED	CSNK2B	1460	6	31632995	31637844	chr6:25000000-34000000_GRCh37
F6	EXTENDED	HSPA1A	3303	6	31782952	31785719	chr6:25000000-34000000_GRCh37
F6	EXTENDED	LSM2	57819	6	31765169	31774761	chr6:25000000-34000000_GRCh37
F6	EXTENDED	MRPS18B	28973	6	30585275	30594174	chr6:25000000-34000000_GRCh37
F6	EXTENDED	RNF5	6048	6	32146162	32148570	chr6:25000000-34000000_GRCh37
F7	CORE	RPS18	6222	6	33239852	33244281	chr6:25000000-34000000_GRCh37
F7	EXTENDED	ATP6V1G2	534	6	31512228	31514625	chr6:25000000-34000000_GRCh37
F7	EXTENDED	HSPA1A	3303	6	31782952	31785719	chr6:25000000-34000000_GRCh37
F7	EXTENDED	RPS18	6222	6	33239852	33244281	chr6:25000000-34000000_GRCh37
