phen	h2.obs	h2.latent	ascertained	p	locus	chr	start	stop	outcome
psoriasis	0.00722254	0.0252651	FALSE	1.28165e-97	2318	19	10028841	11681978	cad
cad	0.00106526	0.00206801	FALSE	1.06178e-70	2318	19	10028841	11681978	cad
psoriasis	0.00183556	0.00642096	FALSE	7.23945e-18	1674	11	64594823	66782661	cad
cad	0.0004039	0.000784096	FALSE	3.08153e-22	1674	11	64594823	66782661	cad
psoriasis	0.0017	0.00594676	FALSE	4.26919e-13	1351	8	125453323	126766827	cad
cad	0.000545205	0.00105841	FALSE	3.53731e-28	1351	8	125453323	126766827	cad
psoriasis	0.00156785	0.00548449	FALSE	1.63386e-13	1841	12	111592382	113947983	cad
cad	0.000340963	0.000661916	FALSE	1.02772e-16	1841	12	111592382	113947983	cad
psoriasis	0.00166447	0.00582246	FALSE	3.0346e-12	36	1	38474037	40200950	cad
cad	0.0003138	0.000609184	FALSE	1.9046e-12	36	1	38474037	40200950	cad
psoriasis	0.00298227	0.0104323	FALSE	7.55828e-27	1559	10	79952997	81190573	cad
cad	0.000344584	0.000668945	FALSE	3.65991e-13	1559	10	79952997	81190573	cad
psoriasis	0.00175793	0.00614939	FALSE	4.6699e-12	927	6	1380680	2746531	cad
cad	0.000398211	0.000773053	FALSE	7.20635e-16	927	6	1380680	2746531	cad
psoriasis	0.00156912	0.00548893	FALSE	1.5446e-10	1453	9	109150718	110630150	cad
cad	0.000554427	0.00107632	FALSE	3.56441e-26	1453	9	109150718	110630150	cad
psoriasis	0.00140323	0.00490862	FALSE	6.89131e-10	2026	14	99474534	100786189	cad
cad	0.000494497	0.000959973	FALSE	3.93994e-24	2026	14	99474534	100786189	cad
psoriasis	0.00206158	0.00721161	FALSE	4.95049e-20	1569	10	89971629	91021321	cad
cad	0.000238326	0.000462665	FALSE	3.79508e-10	1569	10	89971629	91021321	cad
psoriasis	0.00148126	0.00518161	FALSE	3.01663e-10	898	5	148662215	149850203	cad
cad	0.000302793	0.000587815	FALSE	1.54301e-11	898	5	148662215	149850203	cad
psoriasis	0.00128161	0.00448319	FALSE	4.9583e-13	112	1	153410810	154685545	cad
cad	0.000199648	0.000387578	FALSE	3.43597e-10	112	1	153410810	154685545	cad
psoriasis	0.00125034	0.00437381	FALSE	3.37449e-12	906	5	156345452	157191081	cad
cad	0.00020288	0.000393853	FALSE	5.56977e-10	906	5	156345452	157191081	cad
psoriasis	0.00165673	0.00579541	FALSE	1.01614e-14	2230	17	73741322	74908266	cad
cad	0.000253741	0.000492591	FALSE	4.25926e-11	2230	17	73741322	74908266	cad
psoriasis	0.00168994	0.00591158	FALSE	1.61952e-10	1966	14	33591114	34695195	cad
cad	0.00032051	0.000622211	FALSE	1.14863e-10	1966	14	33591114	34695195	cad
psoriasis	0.00155902	0.00545361	FALSE	1.30705e-10	1209	7	130418705	131856481	cad
cad	0.000274532	0.000532952	FALSE	9.92266e-10	1209	7	130418705	131856481	cad
psoriasis	0.00127846	0.00447217	FALSE	4.1917e-09	2432	21	15840034	16873443	cad
cad	0.000293212	0.000569216	FALSE	3.74847e-12	2432	21	15840034	16873443	cad
psoriasis	0.00132195	0.00462429	FALSE	4.50952e-09	267	2	59251997	60775066	cad
cad	0.000387675	0.000752599	FALSE	7.00011e-17	267	2	59251997	60775066	cad
psoriasis	0.00234792	0.00821324	FALSE	6.828e-25	2205	17	40233546	42348003	cad
cad	0.000212978	0.000413457	FALSE	3.61117e-09	2205	17	40233546	42348003	cad
psoriasis	0.000809173	0.00283057	FALSE	1.16415e-07	970	6	33864263	34979270	cad
cad	0.000206584	0.000401045	FALSE	1.52199e-11	970	6	33864263	34979270	cad
psoriasis	0.00125895	0.00440392	FALSE	2.90753e-09	47	1	54771294	55727134	cad
cad	0.000423175	0.000821515	FALSE	6.32499e-21	47	1	54771294	55727134	cad
