locus	locus_start	locus_stop	chr	probe	cm	pos	gene	strand
908	158484776	159663733	5	ENSG00000245812	0	158527491	RP11-175K6.1	+
908	158484776	159663733	5	ENSG00000145860	0	158584417	RNF145	-
908	158484776	159663733	5	ENSG00000164332	0	158690089	UBLCP1	+
908	158484776	159663733	5	ENSG00000248626	0	159377500	GAPDHP40	-
908	158484776	159663733	5	ENSG00000113312	0	159436120	TTC1	+
908	158484776	159663733	5	ENSG00000170234	0	159488808	PWWP2A	-
908	158484776	159663733	5	ENSG00000170231	0	159614374	FABP6	+
1041	111363444	112342873	6	ENSG00000112394	0	111408781	SLC16A10	+
1041	111363444	112342873	6	ENSG00000173214	0	111580551	KIAA1919	+
1041	111363444	112342873	6	ENSG00000230177	0	111599135	RP5-1112D6.4	+
1041	111363444	112342873	6	ENSG00000271789	0	111618329	RP5-1112D6.7	+
1041	111363444	112342873	6	ENSG00000009413	0	111620234	REV3L	-
1041	111363444	112342873	6	ENSG00000272356	0	111630406	RP5-1112D6.8	+
1041	111363444	112342873	6	ENSG00000231889	0	111804714	TRAF3IP2-AS1	+
1041	111363444	112342873	6	ENSG00000056972	0	111877657	TRAF3IP2	-
1041	111363444	112342873	6	ENSG00000255389	0	111921078	C6orf3	+
1041	111363444	112342873	6	ENSG00000010810	0	111981535	FYN	-
26	23907046	25885138	1	ENSG00000197880	0	23907985	MDS2	+
26	23907046	25885138	1	ENSG00000142676	0	24018269	RPL11	+
26	23907046	25885138	1	ENSG00000011007	0	24069645	TCEB3	+
26	23907046	25885138	1	ENSG00000236810	0	24086872	RP5-886K2.3	-
26	23907046	25885138	1	ENSG00000057757	0	24104895	PITHD1	+
26	23907046	25885138	1	ENSG00000011009	0	24117460	LYPLA2	+
26	23907046	25885138	1	ENSG00000117308	0	24122089	GALE	-
26	23907046	25885138	1	ENSG00000117305	0	24128375	HMGCL	-
26	23907046	25885138	1	ENSG00000179163	0	24171567	FUCA1	-
26	23907046	25885138	1	ENSG00000188822	0	24197016	CNR2	-
26	23907046	25885138	1	ENSG00000229106	0	24227961	RP11-4M23.2	-
26	23907046	25885138	1	ENSG00000189266	0	24285599	PNRC2	+
26	23907046	25885138	1	ENSG00000188529	0	24291294	SRSF10	-
