phen1	phen2	rho	rho.lower	rho.upper	r2	r2.lower	r2.upper	p	locus	chr	start	stop	outcome	univ_p_psoriasis	univ_p_outcome	h2_psoriasis	h2_outcome
psa	psoriasis	0.372741	NA	NA	0.138936	NA	NA	0.00849137	2471	22	26166935	27192923	psa	2.03917e-23	1.03538e-06	0.0026798	0.00429229
psa	psoriasis	0.385829	NA	NA	0.148864	NA	NA	0.0193681	586	3	189451806	190591293	psa	2.82813e-12	9.10009e-07	0.00158459	0.00398653
psa	psoriasis	0.0830092	NA	NA	0.00689053	NA	NA	0.60486	2159	16	78973581	79662634	psa	4.7867e-10	4.76255e-08	0.00157229	0.00516125
psa	psoriasis	0.781772	NA	NA	0.611167	NA	NA	8.94518e-08	1968	14	35379989	36422077	psa	2.81345e-72	4.47784e-06	0.00457296	0.00260155
psa	psoriasis	0.445083	NA	NA	0.198099	NA	NA	0.0184058	771	4	186881569	187985393	psa	4.32814e-06	1.10822e-07	0.000988522	0.00459365
psa	psoriasis	0.603701	NA	NA	0.364454	NA	NA	0.00219806	1038	6	107309328	109043244	psa	1.68466e-07	8.33223e-06	0.00110843	0.00352412
psa	psoriasis	0.587067	NA	NA	0.344647	NA	NA	0.00455425	888	5	132554691	134556570	psa	3.06746e-06	1.7999e-05	0.00110102	0.00385573
psa	psoriasis	0.934764	NA	NA	0.873783	NA	NA	7.8561e-08	1674	11	64594823	66782661	psa	4.25145e-18	7.78847e-06	0.00185266	0.00309277
psa	psoriasis	0.462868	NA	NA	0.214247	NA	NA	0.0183807	1071	6	148184845	149278798	psa	1.195e-06	4.21692e-06	0.00108857	0.00396821
psa	psoriasis	0.112514	NA	NA	0.0126594	NA	NA	0.534114	196	1	244723197	245970505	psa	6.21907e-08	1.34346e-06	0.00129917	0.00433768
psa	psoriasis	0.466065	NA	NA	0.217216	NA	NA	0.00354714	2370	20	884242	1771285	psa	1.41166e-13	6.27921e-07	0.00176008	0.00418989
psa	psoriasis	0.810025	NA	NA	0.656141	NA	NA	1.11054e-07	1410	9	32253284	33194892	psa	7.86616e-42	8.9752e-06	0.00335455	0.00301606
psa	psoriasis	0.543831	NA	NA	0.295752	NA	NA	0.00783467	2194	17	21432874	25872110	psa	3.42594e-09	1.26574e-05	0.00088343	0.00224106
psa	psoriasis	0.395701	NA	NA	0.156579	NA	NA	0.0392163	1073	6	150635316	151629954	psa	1.49675e-06	9.40321e-07	0.0010703	0.00426057
psa	psoriasis	0.830653	NA	NA	0.689984	NA	NA	2.18348e-05	1314	8	79756170	81340231	psa	1.27602e-07	1.34041e-06	0.00106262	0.00371971
psa	psoriasis	0.297618	NA	NA	0.0885765	NA	NA	0.0976857	2244	18	5575813	6756496	psa	4.48402e-09	3.98021e-06	0.00137721	0.00398074
psa	psoriasis	0.366423	NA	NA	0.134266	NA	NA	0.0686759	915	5	166863414	168342743	psa	1.43931e-05	1.34018e-06	0.000985124	0.0043628
psa	psoriasis	0.486135	NA	NA	0.236328	NA	NA	0.0120818	1856	12	128372589	129170296	psa	6.03075e-07	3.56452e-06	0.00112845	0.0039305
psa	psoriasis	0.510632	NA	NA	0.260745	NA	NA	0.0102635	407	2	230541093	231847386	psa	4.58093e-07	5.51952e-06	0.00101901	0.00349305
psa	psoriasis	0.4694	NA	NA	0.220336	NA	NA	0.0230627	2204	17	38880482	40233545	psa	2.15192e-05	1.97183e-07	0.000721992	0.00362909
