outcome	tissue	gene	gene_id	locus	region	phase4br_tier	local_direction_group	phase4c_eqtl_gene_tier	n_eqtl_variants	n_gwas_variants	n_matched_variants	nsnps	gwas_n	gwas_case_fraction	eqtl_n	maf_source	status	PP.H0.abf	PP.H1.abf	PP.H2.abf	PP.H3.abf	PP.H4.abf	note	interpretation_tier
crohn	Colon_Sigmoid	PARK7	ENSG00000116288	10	1:7652019-8519390	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	2965	2767	2221	2221	40266	0.302836139671187	318	eqtl_maf_proxy	PASS	1.2831986120819e-05	0.00519408747434784	0.00228136501226232	0.923373992829164	0.0691377226981053	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
crohn	Colon_Transverse	PARK7	ENSG00000116288	10	1:7652019-8519390	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	2965	2767	2221	2221	40266	0.302836139671187	368	eqtl_maf_proxy	PASS	5.28096772206569e-16	2.13761297006551e-13	0.00240475297193404	0.973363869657835	0.0242313773700165	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
crohn	Skin_Not_Sun_Exposed_Suprapubic	PARK7	ENSG00000116288	10	1:7652019-8519390	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	2965	2767	2221	2221	40266	0.302836139671187	517	eqtl_maf_proxy	PASS	1.77137276124195e-10	7.17010419807863e-08	0.00239241171708157	0.968363274346298	0.0292442420584403	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
crohn	Skin_Sun_Exposed_Lower_leg	PARK7	ENSG00000116288	10	1:7652019-8519390	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	2965	2767	2222	2222	40266	0.302836139671187	605	eqtl_maf_proxy	PASS	2.62430785284725e-15	1.06225888634813e-12	0.00234633217510522	0.949692825333143	0.047960842490686	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
crohn	Whole_Blood	PARK7	ENSG00000116288	10	1:7652019-8519390	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	2965	2767	2222	2222	40266	0.302836139671187	670	eqtl_maf_proxy	PASS	1.45042250353794e-16	5.87097352801375e-14	0.00107459910475137	0.434408249876068	0.564517151019125	Restricted coloc completed.	suggestive_PP4_0p5_to_0p8
crohn	Colon_Sigmoid	VAMP3	ENSG00000049245	10	1:7652019-8519390	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	2965	2767	2221	2221	40266	0.302836139671187	318	eqtl_maf_proxy	PASS	1.71685815832592e-07	6.94943976047833e-05	0.0024528228199603	0.99284059889119	0.00463691220542805	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
crohn	Colon_Transverse	VAMP3	ENSG00000049245	10	1:7652019-8519390	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	2965	2767	2221	2221	40266	0.302836139671187	368	eqtl_maf_proxy	PASS	1.11644517651464e-14	4.51911054050387e-12	0.00244361871850949	0.989111606983473	0.00844477429348988	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
crohn	Skin_Not_Sun_Exposed_Suprapubic	VAMP3	ENSG00000049245	10	1:7652019-8519390	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	2965	2767	2221	2221	40266	0.302836139671187	517	eqtl_maf_proxy	PASS	1.90891942403884e-06	0.00077268610399645	0.00244168252478488	0.98832773752528	0.00845598492651449	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
crohn	Skin_Sun_Exposed_Lower_leg	VAMP3	ENSG00000049245	10	1:7652019-8519390	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	2965	2767	2222	2222	40266	0.302836139671187	605	eqtl_maf_proxy	PASS	1.67371961757737e-13	6.77482839941122e-11	0.00244362074698371	0.989112497295725	0.00844388188937591	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
crohn	Colon_Sigmoid	TCTEX1D1	ENSG00000152760	57	1:66312592-67296179	Tier 1	negative_local_rg	A_local_Tier1_recurrent_SMR2	3347	3365	2775	2775	40266	0.302836139671187	318	eqtl_maf_proxy	PASS	1.13570283344464e-95	2.40897707656025e-06	4.71444901253638e-90	0.999997469759638	1.21263293686732e-07	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
crohn	Colon_Transverse	TCTEX1D1	ENSG00000152760	57	1:66312592-67296179	Tier 1	negative_local_rg	A_local_Tier1_recurrent_SMR2	3347	3365	2777	2777	40266	0.302836139671187	368	eqtl_maf_proxy	PASS	3.65087963052458e-97	7.74400228670662e-08	4.71446055883707e-90	0.999999919001599	3.55836869168834e-09	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
crohn	Skin_Not_Sun_Exposed_Suprapubic	TCTEX1D1	ENSG00000152760	57	1:66312592-67296179	Tier 1	negative_local_rg	A_local_Tier1_recurrent_SMR2	3347	3365	2775	2775	40266	0.302836139671187	517	eqtl_maf_proxy	PASS	1.18831690106027e-102	2.52057852639217e-13	4.71446094068171e-90	0.999999999999488	2.5670401228926e-13	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
crohn	Skin_Sun_Exposed_Lower_leg	TCTEX1D1	ENSG00000152760	57	1:66312592-67296179	Tier 1	negative_local_rg	A_local_Tier1_recurrent_SMR2	3347	3365	2769	2769	40266	0.302836139671187	605	eqtl_maf_proxy	PASS	9.94986399771434e-105	2.11049876600967e-15	4.71446094068399e-90	1	1.05766769252248e-16	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
